round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,460,1.86264,1.85222,1.15323,True,0.3481,0.3608,0.2782,0.1529,1072
2,2,19,960,9431662,9431662,100.0,1433.61,460,1.59895,1.5225,1.02809,True,0.5221,0.4062,0.3975,0.2331,1060
3,2,19,960,9431662,9431662,100.0,1433.61,460,1.6121,1.43696,1.04389,True,0.5194,0.381,0.3761,0.2242,1148
4,2,19,960,9431662,9431662,100.0,1433.61,460,1.51695,1.29248,0.99304,True,0.4927,0.4199,0.4029,0.239,1057
5,2,19,960,9431662,9431662,100.0,1433.61,460,1.61636,1.3187,1.05,True,0.5146,0.4282,0.4202,0.2494,1063
6,2,19,960,9431662,9431662,100.0,1433.61,460,1.5378,1.27853,1.006,True,0.4623,0.4069,0.3765,0.2207,1098
7,2,19,960,9431662,9431662,100.0,1433.61,460,1.5507,1.23967,1.01691,True,0.5136,0.4379,0.4254,0.2506,1084
8,2,19,960,9431662,9431662,100.0,1433.61,460,1.60387,1.28525,1.01697,True,0.5012,0.3742,0.3687,0.2205,1066
9,2,19,960,9431662,9431662,100.0,1433.61,460,1.56144,1.19425,1.03276,True,0.5042,0.4093,0.3955,0.232,1073
10,2,19,960,9431662,9431662,100.0,1433.61,460,1.54636,1.21088,1.00454,True,0.5222,0.4254,0.4246,0.2531,1076
11,2,19,960,9431662,9431662,100.0,1433.61,460,1.60241,1.23448,1.0542,True,0.4994,0.4083,0.3922,0.2268,1073
12,2,19,960,9431662,9431662,100.0,1433.61,460,1.50498,1.15683,0.98609,True,0.487,0.4322,0.4114,0.2441,1070
13,2,19,960,9431662,9431662,100.0,1433.61,460,1.5571,1.24201,1.0278,True,0.5176,0.4151,0.3994,0.2306,1069
14,2,19,960,9431662,9431662,100.0,1433.61,460,1.521,1.17181,1.00099,True,0.4719,0.4198,0.397,0.2362,1059
15,2,19,960,9431662,9431662,100.0,1433.61,460,1.47575,1.19934,0.98753,True,0.5122,0.4311,0.4166,0.2431,1056
16,2,19,960,9431662,9431662,100.0,1433.61,460,1.47749,1.14055,0.98159,True,0.5069,0.4302,0.4129,0.2468,1061
17,2,19,960,9431662,9431662,100.0,1433.61,460,1.47128,1.15706,0.986,True,0.506,0.4308,0.4129,0.2441,1054
18,2,19,960,9431662,9431662,100.0,1433.61,460,1.47079,1.15462,0.97831,True,0.5279,0.4334,0.4248,0.2528,1057
19,2,19,960,9431662,9431662,100.0,1433.61,460,1.4503,1.15637,0.97867,True,0.5126,0.4339,0.414,0.2465,1056
20,2,19,960,9431662,9431662,100.0,1433.61,460,1.45635,1.12493,0.97396,True,0.5254,0.4338,0.4221,0.2494,1052
21,2,19,960,9431662,9431662,100.0,1433.61,460,1.51501,1.16227,1.00674,True,0.5095,0.4189,0.407,0.244,1054
22,2,19,960,9431662,9431662,100.0,1433.61,460,1.4953,1.12801,0.98298,True,0.513,0.425,0.4138,0.2442,1056
23,2,19,960,9431662,9431662,100.0,1433.61,460,1.5089,1.14541,1.00711,True,0.515,0.4339,0.4185,0.2476,1049
