round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,460,1.8606,1.85031,1.15196,True,0.3735,0.3705,0.2995,0.1656,484
2,2,19,960,9431662,9431662,100.0,1433.61,460,1.5968,1.4992,1.02813,True,0.5286,0.4115,0.4031,0.2367,488
3,2,19,960,9431662,9431662,100.0,1433.61,460,1.61553,1.44371,1.04614,True,0.5139,0.3844,0.3823,0.225,485
4,2,19,960,9431662,9431662,100.0,1433.61,460,1.59473,1.33764,1.01766,True,0.4881,0.4232,0.4007,0.2373,492
5,2,19,960,9431662,9431662,100.0,1433.61,460,1.63629,1.32557,1.05198,True,0.5232,0.4231,0.4163,0.2435,492
6,2,19,960,9431662,9431662,100.0,1433.61,460,1.59922,1.28437,1.018,True,0.4347,0.3855,0.3444,0.2004,492
7,2,19,960,9431662,9431662,100.0,1433.61,460,1.53776,1.2642,1.00838,True,0.5247,0.4356,0.421,0.2492,485
8,2,19,960,9431662,9431662,100.0,1433.61,460,1.60506,1.34519,1.02194,True,0.5009,0.4215,0.4072,0.245,483
9,2,19,960,9431662,9431662,100.0,1433.61,460,1.54779,1.30504,1.00931,True,0.5161,0.4396,0.433,0.2575,490
10,2,19,960,9431662,9431662,100.0,1433.61,460,1.63851,1.26936,1.02726,True,0.5089,0.4063,0.3987,0.2386,483
11,2,19,960,9431662,9431662,100.0,1433.61,460,1.51712,1.22614,1.00981,True,0.5164,0.4289,0.4189,0.2446,486
12,2,19,960,9431662,9431662,100.0,1433.61,460,1.5697,1.20394,1.0085,True,0.53,0.4284,0.4281,0.2555,485
13,2,19,960,9431662,9431662,100.0,1433.61,460,1.49277,1.18645,0.99834,True,0.506,0.418,0.4055,0.2362,489
14,2,19,960,9431662,9431662,100.0,1433.61,460,1.5249,1.2405,0.99395,True,0.5138,0.431,0.4246,0.2547,484
15,2,19,960,9431662,9431662,100.0,1433.61,460,1.44017,1.17147,0.97262,True,0.5072,0.4324,0.4134,0.24,485
16,2,19,960,9431662,9431662,100.0,1433.61,460,1.4585,1.14158,0.97231,True,0.5035,0.4357,0.4188,0.2501,488
17,2,19,960,9431662,9431662,100.0,1433.61,460,1.44667,1.16244,0.97419,True,0.5186,0.434,0.4233,0.2457,489
18,2,19,960,9431662,9431662,100.0,1433.61,460,1.5299,1.20892,1.00401,True,0.5019,0.4288,0.414,0.2454,493
19,2,19,960,9431662,9431662,100.0,1433.61,460,1.53796,1.22416,1.02504,True,0.5099,0.4331,0.4145,0.2457,490
20,2,19,960,9431662,9431662,100.0,1433.61,460,1.45835,1.12732,0.97745,True,0.524,0.4362,0.4229,0.251,490
21,2,19,960,9431662,9431662,100.0,1433.61,460,1.46773,1.12418,0.98787,True,0.5095,0.4382,0.4203,0.2482,490
22,2,19,960,9431662,9431662,100.0,1433.61,460,1.52426,1.16139,0.99083,True,0.5403,0.4256,0.4186,0.25,488
23,2,19,960,9431662,9431662,100.0,1433.61,460,1.48593,1.09044,0.99957,True,0.5143,0.4383,0.4181,0.2497,490
24,2,19,960,9431662,9431662,100.0,1433.61,460,1.48405,1.11128,0.98245,True,0.5314,0.4267,0.4242,0.2522,491
25,2,19,960,9431662,9431662,100.0,1433.61,460,1.48719,1.09828,0.99233,True,0.5121,0.4337,0.4193,0.2484,496
26,2,19,960,9431662,9431662,100.0,1433.61,460,1.46222,1.10878,0.97523,True,0.5189,0.4196,0.4159,0.246,489
27,2,19,960,9431662,9431662,100.0,1433.61,460,1.46816,1.11171,0.97524,True,0.525,0.4275,0.4167,0.2463,491
28,2,19,960,9431662,9431662,100.0,1433.61,460,1.50291,1.10063,0.99083,True,0.5162,0.4241,0.4184,0.2462,489
29,2,19,960,9431662,9431662,100.0,1433.61,460,1.46255,1.07665,0.97343,True,0.5098,0.433,0.4156,0.2457,486
30,2,19,960,9431662,9431662,100.0,1433.61,460,1.44875,1.06664,0.9792,True,0.5214,0.4328,0.4208,0.2492,485
31,2,19,960,9431662,9431662,100.0,1433.61,460,1.4923,1.1573,0.98464,True,0.5185,0.4274,0.4168,0.245,487
32,2,19,960,9431662,9431662,100.0,1433.61,460,1.45241,1.05071,0.98821,True,0.5144,0.4317,0.4162,0.2473,507
33,2,19,960,9431662,9431662,100.0,1433.61,460,1.46715,1.0882,0.97435,True,0.5147,0.4263,0.4107,0.2422,500
34,2,19,960,9431662,9431662,100.0,1433.61,460,1.44872,1.04954,0.97814,True,0.5113,0.4318,0.4154,0.2465,486
35,2,19,960,9431662,9431662,100.0,1433.61,460,1.42124,1.02837,0.95782,True,0.5151,0.4268,0.4121,0.2413,496
36,2,19,960,9431662,9431662,100.0,1433.61,460,1.49527,1.09884,0.9998,True,0.5151,0.4233,0.4085,0.2434,491
37,2,19,960,9431662,9431662,100.0,1433.61,460,1.44848,1.06211,0.97158,True,0.5149,0.4223,0.41,0.2408,493
38,2,19,960,9431662,9431662,100.0,1433.61,460,1.44963,1.02586,0.99125,True,0.5096,0.4296,0.4119,0.2437,492
39,2,19,960,9431662,9431662,100.0,1433.61,460,1.40673,1.03321,0.95979,True,0.5095,0.4359,0.4128,0.2423,491
40,2,19,960,9431662,9431662,100.0,1433.61,460,1.44386,1.01755,0.98766,True,0.5018,0.4288,0.4057,0.2398,489
41,2,19,960,9431662,9431662,100.0,1433.61,460,1.41559,1.03343,0.9638,True,0.516,0.4287,0.4088,0.241,491
42,2,19,960,9431662,9431662,100.0,1433.61,460,1.40158,1.02455,0.96625,True,0.5105,0.4226,0.4088,0.2445,494
43,2,19,960,9431662,9431662,100.0,1433.61,460,1.39952,1.05041,0.9558,True,0.5113,0.418,0.3972,0.2305,490
44,2,19,960,9431662,9431662,100.0,1433.61,460,1.44677,1.1493,0.9692,True,0.5064,0.42,0.404,0.2392,488
45,2,19,960,9431662,9431662,100.0,1433.61,460,1.41647,1.07187,0.97274,True,0.5066,0.417,0.403,0.236,489
46,2,19,960,9431662,9431662,100.0,1433.61,460,1.50911,1.08882,0.9925,True,0.5232,0.4128,0.4075,0.2412,487
47,2,19,960,9431662,9431662,100.0,1433.61,460,1.4531,1.05757,0.98802,True,0.4995,0.4153,0.3956,0.2308,489
