round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,3989678,9431662,42.3,606.43,460,1.47735,1.01322,0.98875,True,0.552,0.469,0.4533,0.2715,704
2,2,19,960,3989678,9431662,42.3,606.43,460,1.47695,1.10672,0.98957,True,0.5473,0.471,0.4524,0.269,706
3,2,19,960,3989678,9431662,42.3,606.43,460,1.4743,0.95949,0.97235,True,0.5527,0.4623,0.4492,0.267,703
4,2,19,960,3989678,9431662,42.3,606.43,460,1.43476,1.01347,0.9796,True,0.555,0.4609,0.4465,0.2633,709
5,2,19,960,3989678,9431662,42.3,606.43,460,1.40735,0.91882,0.95393,True,0.5516,0.4662,0.4501,0.2682,708
6,2,19,960,3989678,9431662,42.3,606.43,460,1.41015,0.98007,0.96516,True,0.5505,0.4623,0.4494,0.2654,708
7,2,19,960,3989678,9431662,42.3,606.43,460,1.39395,0.90786,0.94831,True,0.5526,0.4624,0.4478,0.2672,706
8,2,19,960,3989678,9431662,42.3,606.43,460,1.40174,0.95883,0.95981,True,0.5437,0.4613,0.4453,0.2642,705
9,2,19,960,3989678,9431662,42.3,606.43,460,1.37073,0.89818,0.94312,True,0.548,0.4631,0.4472,0.2669,707
10,2,19,960,3989678,9431662,42.3,606.43,460,1.38689,0.93724,0.9547,True,0.5436,0.4602,0.4443,0.2634,707
11,2,19,960,3989678,9431662,42.3,606.43,460,1.35985,0.88961,0.94007,True,0.549,0.4592,0.4456,0.2662,709
12,2,19,960,3989678,9431662,42.3,606.43,460,1.37502,0.92576,0.95161,True,0.5413,0.4534,0.4416,0.2623,704
13,2,19,960,3989678,9431662,42.3,606.43,460,1.35355,0.88936,0.93727,True,0.5466,0.458,0.4437,0.2655,703
14,2,19,960,3989678,9431662,42.3,606.43,460,1.37631,0.92964,0.9503,True,0.5426,0.4533,0.4398,0.2596,710
15,2,19,960,3989678,9431662,42.3,606.43,460,1.34514,0.87696,0.93555,True,0.5435,0.4548,0.4419,0.264,710
16,2,19,960,3989678,9431662,42.3,606.43,460,1.35507,0.90647,0.94561,True,0.5418,0.455,0.439,0.2598,706
17,2,19,960,3989678,9431662,42.3,606.43,460,1.3018,0.85806,0.92391,True,0.5375,0.4589,0.4395,0.2626,709
18,2,19,960,3989678,9431662,42.3,606.43,460,1.3399,0.89612,0.94121,True,0.5317,0.455,0.4361,0.2583,704
