round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,1,19,960,2334702,9431662,24.75,354.87,230,1.18506,0.76199,0.88576,True,0.568,0.4671,0.4583,0.2762,432
2,1,19,960,2334702,9431662,24.75,354.87,230,1.18965,0.77631,0.88859,True,0.5738,0.4596,0.4577,0.275,443
3,1,19,960,2334702,9431662,24.75,354.87,230,1.19711,0.77745,0.88934,True,0.5693,0.4635,0.4565,0.2734,445
4,1,19,960,2334702,9431662,24.75,354.87,230,1.19539,0.78891,0.89077,True,0.5678,0.4613,0.4571,0.2748,445
5,1,19,960,2334702,9431662,24.75,354.87,230,1.19282,0.77628,0.89001,True,0.5782,0.4604,0.4575,0.2739,444
6,1,19,960,2334702,9431662,24.75,354.87,230,1.19473,0.78307,0.88933,True,0.5704,0.4616,0.4578,0.2741,445
7,1,19,960,2334702,9431662,24.75,354.87,230,1.1962,0.78176,0.89014,True,0.5728,0.4623,0.4565,0.2735,440
8,1,19,960,2334702,9431662,24.75,354.87,230,1.19502,0.78477,0.88934,True,0.5666,0.4634,0.4576,0.2739,443
9,1,19,960,2334702,9431662,24.75,354.87,230,1.19255,0.77765,0.88886,True,0.5645,0.4671,0.4564,0.2727,441
10,1,19,960,2334702,9431662,24.75,354.87,230,1.19152,0.78446,0.88857,True,0.5663,0.4643,0.4572,0.2732,435
11,1,19,960,2334702,9431662,24.75,354.87,230,1.19537,0.7811,0.88959,True,0.5661,0.4662,0.4563,0.272,443
12,1,19,960,2334702,9431662,24.75,354.87,230,1.19248,0.78551,0.88939,True,0.5697,0.4621,0.4571,0.2737,440
13,1,19,960,2334702,9431662,24.75,354.87,230,1.19175,0.77732,0.8888,True,0.5701,0.4635,0.4568,0.2723,438
14,1,19,960,2334702,9431662,24.75,354.87,230,1.19275,0.78869,0.88948,True,0.5654,0.4597,0.4564,0.2731,433
15,1,19,960,2334702,9431662,24.75,354.87,230,1.18968,0.7789,0.88786,True,0.5639,0.4651,0.4558,0.2719,434
16,1,19,960,2334702,9431662,24.75,354.87,230,1.19222,0.78576,0.8894,True,0.5647,0.4636,0.4559,0.2729,434
17,1,19,960,2334702,9431662,24.75,354.87,230,1.19263,0.78684,0.88879,True,0.5675,0.4629,0.4559,0.2712,444
18,1,19,960,2334702,9431662,24.75,354.87,230,1.18991,0.78121,0.88876,True,0.5662,0.4627,0.456,0.2727,449
19,1,19,960,2334702,9431662,24.75,354.87,230,1.19026,0.78047,0.8885,True,0.5632,0.4663,0.456,0.2713,446
20,1,19,960,2334702,9431662,24.75,354.87,230,1.19079,0.78471,0.88822,True,0.5625,0.4597,0.4554,0.273,454
21,1,19,960,2334702,9431662,24.75,354.87,230,1.18424,0.77495,0.88741,True,0.5608,0.4646,0.4554,0.2714,444
22,1,19,960,2334702,9431662,24.75,354.87,230,1.1884,0.77721,0.88776,True,0.5613,0.4628,0.4546,0.2719,442
23,1,19,960,2334702,9431662,24.75,354.87,230,1.19088,0.78012,0.88851,True,0.5605,0.4658,0.4536,0.27,441
24,1,19,960,2334702,9431662,24.75,354.87,230,1.19176,0.77909,0.88844,True,0.5614,0.4628,0.4545,0.2711,441
25,1,19,960,2334702,9431662,24.75,354.87,230,1.18991,0.78224,0.88838,True,0.5575,0.4635,0.4529,0.2692,441
26,1,19,960,2334702,9431662,24.75,354.87,230,1.19281,0.78539,0.88796,True,0.5645,0.4598,0.4542,0.2712,442
27,1,19,960,2334702,9431662,24.75,354.87,230,1.18253,0.77813,0.8875,True,0.5625,0.4591,0.4535,0.2716,445
28,1,19,960,2334702,9431662,24.75,354.87,230,1.18453,0.77164,0.88686,True,0.5624,0.4618,0.4531,0.27,438
29,1,19,960,2334702,9431662,24.75,354.87,230,1.18518,0.78013,0.88896,True,0.5625,0.4599,0.4538,0.2715,450
30,1,19,960,2334702,9431662,24.75,354.87,230,1.1844,0.77517,0.88689,True,0.5569,0.4646,0.4535,0.2705,443
31,1,19,960,2334702,9431662,24.75,354.87,230,1.18266,0.77881,0.88749,True,0.555,0.4616,0.4519,0.2699,441
32,1,19,960,2334702,9431662,24.75,354.87,230,1.18203,0.77185,0.88619,True,0.5557,0.4636,0.4528,0.2703,436
33,1,19,960,2334702,9431662,24.75,354.87,230,1.18122,0.77223,0.88701,True,0.5647,0.4581,0.4521,0.2703,437
34,1,19,960,2334702,9431662,24.75,354.87,230,1.18171,0.77146,0.88648,True,0.5587,0.4625,0.4526,0.2702,436
35,1,19,960,2334702,9431662,24.75,354.87,230,1.18607,0.77987,0.88818,True,0.5532,0.461,0.4508,0.269,440
36,2,19,960,2334702,9431662,24.75,354.87,460,1.20339,0.79143,0.89486,True,0.5605,0.4615,0.4546,0.2706,456
37,2,19,960,2334702,9431662,24.75,354.87,460,1.2038,0.80701,0.89456,True,0.557,0.4655,0.4536,0.2705,459
38,2,19,960,2334702,9431662,24.75,354.87,460,1.20103,0.79112,0.89386,True,0.5593,0.4637,0.4551,0.2712,458
39,2,19,960,2334702,9431662,24.75,354.87,460,1.20339,0.80659,0.89361,True,0.5634,0.4596,0.4537,0.2707,453
40,2,19,960,2334702,9431662,24.75,354.87,460,1.19955,0.78944,0.89326,True,0.5586,0.4638,0.4549,0.2713,451
