round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,2334702,9431662,24.75,354.87,460,1.20609,0.7899,0.8944,True,0.5602,0.466,0.4572,0.2743,746
2,2,19,960,2334702,9431662,24.75,354.87,460,1.20234,0.80877,0.89449,True,0.5606,0.4652,0.4571,0.2741,747
3,2,19,960,2334702,9431662,24.75,354.87,460,1.2066,0.79473,0.89473,True,0.566,0.4657,0.458,0.2745,750
4,2,19,960,2334702,9431662,24.75,354.87,460,1.19776,0.80906,0.89384,True,0.5657,0.4647,0.4571,0.2739,752
5,2,19,960,2334702,9431662,24.75,354.87,460,1.20767,0.7964,0.89438,True,0.564,0.4665,0.4577,0.274,754
6,2,19,960,2334702,9431662,24.75,354.87,460,1.19586,0.79924,0.89311,True,0.5574,0.4675,0.4569,0.2738,751
7,2,19,960,2334702,9431662,24.75,354.87,460,1.2028,0.79088,0.89386,True,0.5625,0.4657,0.4576,0.2739,753
8,2,19,960,2334702,9431662,24.75,354.87,460,1.19587,0.80011,0.89361,True,0.5598,0.466,0.4563,0.2733,752
9,2,19,960,2334702,9431662,24.75,354.87,460,1.20267,0.79078,0.89352,True,0.5632,0.4663,0.4571,0.2738,753
10,2,19,960,2334702,9431662,24.75,354.87,460,1.19333,0.79347,0.89209,True,0.561,0.4651,0.4562,0.2728,753
11,2,19,960,2334702,9431662,24.75,354.87,460,1.19704,0.78239,0.89271,True,0.559,0.4651,0.4564,0.273,754
12,2,19,960,2334702,9431662,24.75,354.87,460,1.19374,0.79747,0.89282,True,0.5626,0.4624,0.4558,0.2735,754
13,2,19,960,2334702,9431662,24.75,354.87,460,1.19848,0.78537,0.89278,True,0.5597,0.4652,0.4559,0.2728,750
14,2,19,960,2334702,9431662,24.75,354.87,460,1.19075,0.79244,0.89156,True,0.5618,0.4634,0.4554,0.2731,754
15,2,19,960,2334702,9431662,24.75,354.87,460,1.19685,0.78461,0.89254,True,0.565,0.4637,0.456,0.2728,753
16,2,19,960,2334702,9431662,24.75,354.87,460,1.18992,0.79141,0.89158,True,0.5633,0.4627,0.4549,0.2729,754
17,2,19,960,2334702,9431662,24.75,354.87,460,1.19257,0.78206,0.89167,True,0.5646,0.4608,0.455,0.2722,754
18,2,19,960,2334702,9431662,24.75,354.87,460,1.1905,0.79411,0.89139,True,0.5607,0.4633,0.4547,0.2724,751
19,2,19,960,2334702,9431662,24.75,354.87,460,1.19334,0.78307,0.89155,True,0.5626,0.4616,0.454,0.2712,751
20,2,19,960,2334702,9431662,24.75,354.87,460,1.18877,0.79089,0.89124,True,0.5626,0.461,0.4539,0.2717,751
