round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,2334702,9431662,24.75,354.87,536,1.22122,0.53726,0.89617,True,0.5769,0.4613,0.4575,0.2744,679
2,2,19,960,2334702,9431662,24.75,354.87,536,1.21036,0.53334,0.89407,True,0.5699,0.4631,0.4563,0.2734,679
3,2,19,960,2334702,9431662,24.75,354.87,536,1.21388,0.53668,0.8942,True,0.5722,0.4608,0.4568,0.2738,680
4,2,19,960,2334702,9431662,24.75,354.87,536,1.20591,0.52776,0.89295,True,0.5688,0.4616,0.456,0.2732,685
5,2,19,960,2334702,9431662,24.75,354.87,536,1.20912,0.53374,0.89372,True,0.57,0.4607,0.456,0.2736,682
6,2,19,960,2334702,9431662,24.75,354.87,536,1.2036,0.52775,0.8928,True,0.571,0.4587,0.4563,0.2731,679
7,2,19,960,2334702,9431662,24.75,354.87,536,1.20544,0.52975,0.89299,True,0.569,0.4599,0.4547,0.2727,684
8,2,19,960,2334702,9431662,24.75,354.87,536,1.20396,0.52717,0.89293,True,0.5701,0.4581,0.4557,0.2724,680
9,2,19,960,2334702,9431662,24.75,354.87,536,1.20087,0.52528,0.89255,True,0.5706,0.4604,0.4557,0.2731,682
10,2,19,960,2334702,9431662,24.75,354.87,536,1.19962,0.52492,0.89262,True,0.5703,0.4598,0.4549,0.2726,684
11,2,19,960,2334702,9431662,24.75,354.87,536,1.20451,0.52727,0.89308,True,0.5671,0.4615,0.4549,0.2727,682
12,2,19,960,2334702,9431662,24.75,354.87,536,1.2018,0.52905,0.89222,True,0.5691,0.4605,0.4546,0.2722,681
13,2,19,960,2334702,9431662,24.75,354.87,536,1.19691,0.52145,0.89207,True,0.5661,0.4621,0.4533,0.2713,681
14,2,19,960,2334702,9431662,24.75,354.87,536,1.20255,0.52809,0.89228,True,0.568,0.4599,0.4544,0.2722,680
15,2,19,960,2334702,9431662,24.75,354.87,536,1.20025,0.52706,0.892,True,0.5704,0.4605,0.4538,0.2715,685
16,2,19,960,2334702,9431662,24.75,354.87,536,1.19787,0.52547,0.89163,True,0.5666,0.4591,0.4531,0.2711,686
17,2,19,960,2334702,9431662,24.75,354.87,536,1.20015,0.52578,0.89189,True,0.5659,0.461,0.4534,0.2714,718
18,2,19,960,2334702,9431662,24.75,354.87,536,1.19667,0.52564,0.89129,True,0.5703,0.4577,0.4519,0.2703,690
19,2,19,960,2334702,9431662,24.75,354.87,536,1.19709,0.5271,0.8915,True,0.5695,0.4595,0.4526,0.2711,687
20,2,19,960,2334702,9431662,24.75,354.87,536,1.19619,0.52441,0.89136,True,0.5762,0.4543,0.4509,0.27,698
21,2,19,960,2334702,9431662,24.75,354.87,536,1.19957,0.52732,0.89182,True,0.5703,0.4579,0.4525,0.2711,698
22,2,19,960,2334702,9431662,24.75,354.87,536,1.19403,0.52251,0.8909,True,0.5703,0.4567,0.4513,0.2704,686
23,2,19,960,2334702,9431662,24.75,354.87,536,1.19945,0.52726,0.8916,True,0.5689,0.4576,0.4509,0.2698,686
24,2,19,960,2334702,9431662,24.75,354.87,536,1.19427,0.52477,0.89088,True,0.571,0.4582,0.4513,0.2705,698
25,2,19,960,2334702,9431662,24.75,354.87,536,1.19952,0.52693,0.8915,True,0.5652,0.4582,0.4503,0.2691,698
26,2,19,960,2334702,9431662,24.75,354.87,536,1.19516,0.52531,0.89077,True,0.5725,0.4562,0.4497,0.2692,687
27,2,19,960,2334702,9431662,24.75,354.87,536,1.19641,0.52696,0.89107,True,0.5679,0.4566,0.4485,0.2687,688
28,2,19,960,2334702,9431662,24.75,354.87,536,1.1932,0.52328,0.89054,True,0.5633,0.4588,0.4487,0.2687,692
29,2,19,960,2334702,9431662,24.75,354.87,536,1.19754,0.52573,0.8912,True,0.5645,0.4584,0.4492,0.2692,693
30,2,19,960,2334702,9431662,24.75,354.87,536,1.195,0.52428,0.89038,True,0.5697,0.455,0.4484,0.2682,687
31,2,19,960,2334702,9431662,24.75,354.87,536,1.19415,0.52553,0.89052,True,0.5658,0.4573,0.4487,0.2682,686
32,2,19,960,2334702,9431662,24.75,354.87,536,1.19235,0.52324,0.89025,True,0.5619,0.4559,0.4474,0.2674,685
