round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,460,2.08529,5.93623,1.28297,True,0.2559,0.0799,0.0331,0.0154,1225
2,2,19,960,9431662,9431662,100.0,1433.61,460,2.2241,3.8771,1.26835,True,0.163,0.0637,0.0201,0.0101,1301
3,2,19,960,9431662,9431662,100.0,1433.61,460,2.07954,4.94634,1.28959,True,0.0266,0.042,0.0095,0.0033,1230
4,2,19,960,9431662,9431662,100.0,1433.61,460,2.20165,3.43275,1.27072,True,0.0403,0.0253,0.0049,0.0022,1034
5,2,19,960,9431662,9431662,100.0,1433.61,460,2.01354,4.24108,1.23338,True,0.2674,0.0868,0.042,0.024,952
6,2,19,960,9431662,9431662,100.0,1433.61,460,2.05243,3.00855,1.2104,True,0.056,0.1788,0.0272,0.0116,908
7,2,19,960,9431662,9431662,100.0,1433.61,460,1.96128,3.67409,1.15624,True,0.2821,0.1322,0.0646,0.0316,860
8,2,19,960,9431662,9431662,100.0,1433.61,460,2.02618,3.01371,1.2364,True,0.0591,0.1699,0.0546,0.031,845
9,2,19,960,9431662,9431662,100.0,1433.61,460,2.17749,3.3035,1.28462,True,0.0629,0.082,0.0112,0.005,832
10,2,19,960,9431662,9431662,100.0,1433.61,460,2.28763,2.64806,1.28952,True,0.47,0.0749,0.0511,0.0324,885
11,2,19,960,9431662,9431662,100.0,1433.61,460,1.97818,3.28818,1.16442,True,0.4564,0.0729,0.0441,0.0238,799
12,2,19,960,9431662,9431662,100.0,1433.61,460,1.97587,2.69917,1.21116,True,0.4189,0.1105,0.0745,0.0419,699
13,2,19,960,9431662,9431662,100.0,1433.61,460,2.06286,3.1672,1.24181,True,0.0713,0.2154,0.0721,0.0363,696
14,2,19,960,9431662,9431662,100.0,1433.61,460,1.95975,2.39348,1.1603,True,0.3427,0.1366,0.073,0.0423,790
15,2,19,960,9431662,9431662,100.0,1433.61,460,1.82889,2.96241,1.1204,True,0.4189,0.1597,0.0934,0.052,741
16,2,19,960,9431662,9431662,100.0,1433.61,460,1.79703,2.22564,1.1522,True,0.426,0.1171,0.0939,0.0537,761
17,2,19,960,9431662,9431662,100.0,1433.61,460,1.85543,2.74253,1.15759,True,0.4665,0.1255,0.0901,0.0541,747
18,2,19,960,9431662,9431662,100.0,1433.61,460,1.7889,2.18821,1.12707,True,0.3512,0.1513,0.109,0.059,769
19,2,19,960,9431662,9431662,100.0,1433.61,460,1.81969,2.60421,1.11721,True,0.3404,0.1391,0.0871,0.0503,731
20,2,19,960,9431662,9431662,100.0,1433.61,460,1.88826,2.1472,1.15081,True,0.3835,0.1669,0.1188,0.0647,791
21,2,19,960,9431662,9431662,100.0,1433.61,460,1.89334,2.63219,1.16798,True,0.4818,0.1619,0.1078,0.0611,772
22,2,19,960,9431662,9431662,100.0,1433.61,460,1.79949,2.11939,1.12175,True,0.3767,0.1897,0.1259,0.0713,756
23,2,19,960,9431662,9431662,100.0,1433.61,460,1.76628,2.30474,1.1175,True,0.3709,0.1675,0.1213,0.0684,739
24,2,19,960,9431662,9431662,100.0,1433.61,460,1.79858,2.0646,1.11887,True,0.3638,0.1569,0.1011,0.0567,753
25,2,19,960,9431662,9431662,100.0,1433.61,460,1.8114,2.25654,1.12404,True,0.5015,0.1562,0.1188,0.0669,770
26,2,19,960,9431662,9431662,100.0,1433.61,460,1.8743,2.04965,1.14062,True,0.4928,0.1606,0.1255,0.0701,732
27,2,19,960,9431662,9431662,100.0,1433.61,460,1.86798,2.20515,1.14436,True,0.3693,0.1894,0.1363,0.0762,775
28,2,19,960,9431662,9431662,100.0,1433.61,460,1.84925,1.96494,1.12849,True,0.5085,0.1864,0.1488,0.0863,821
29,2,19,960,9431662,9431662,100.0,1433.61,460,1.77361,2.10543,1.10588,True,0.3179,0.1727,0.1344,0.0782,777
30,2,19,960,9431662,9431662,100.0,1433.61,460,1.76451,1.90432,1.10124,True,0.4833,0.2194,0.1493,0.0848,822
31,2,19,960,9431662,9431662,100.0,1433.61,460,1.76717,2.07296,1.10789,True,0.3597,0.192,0.149,0.0866,753
32,2,19,960,9431662,9431662,100.0,1433.61,460,1.77062,1.85258,1.10075,True,0.3438,0.2167,0.1539,0.0878,782
33,2,19,960,9431662,9431662,100.0,1433.61,460,1.86932,2.09075,1.14027,True,0.3477,0.1976,0.1501,0.0827,783
34,2,19,960,9431662,9431662,100.0,1433.61,460,1.85814,1.91527,1.12721,True,0.3261,0.1842,0.1368,0.0812,773
35,2,19,960,9431662,9431662,100.0,1433.61,460,1.75836,1.94981,1.10555,True,0.3872,0.1772,0.1441,0.0794,763
36,2,19,960,9431662,9431662,100.0,1433.61,460,1.79902,1.84655,1.10249,True,0.3604,0.1847,0.1497,0.0861,777
37,2,19,960,9431662,9431662,100.0,1433.61,460,1.76349,1.9191,1.10483,True,0.4568,0.187,0.148,0.0827,825
38,2,19,960,9431662,9431662,100.0,1433.61,460,1.74601,1.81177,1.093,True,0.3638,0.2089,0.1596,0.0932,821
39,2,19,960,9431662,9431662,100.0,1433.61,460,1.73878,1.94611,1.09237,True,0.3478,0.2149,0.1613,0.0889,768
40,2,19,960,9431662,9431662,100.0,1433.61,460,1.73872,1.82143,1.08081,True,0.3384,0.2257,0.1587,0.092,795
41,2,19,960,9431662,9431662,100.0,1433.61,460,1.73005,1.89323,1.08932,True,0.3568,0.2082,0.1602,0.0925,796
42,2,19,960,9431662,9431662,100.0,1433.61,460,1.74694,1.79601,1.08179,True,0.2662,0.2147,0.16,0.0953,797
43,2,19,960,9431662,9431662,100.0,1433.61,460,1.76753,1.88975,1.09912,True,0.263,0.2395,0.1652,0.0924,817
44,2,19,960,9431662,9431662,100.0,1433.61,460,1.78438,1.75199,1.10034,True,0.366,0.2035,0.1685,0.0995,794
45,2,19,960,9431662,9431662,100.0,1433.61,460,1.7847,1.79665,1.11063,True,0.2396,0.2254,0.1621,0.0904,803
46,2,19,960,9431662,9431662,100.0,1433.61,460,1.80398,1.79924,1.10954,True,0.3767,0.2051,0.164,0.0972,759
47,2,19,960,9431662,9431662,100.0,1433.61,460,1.78555,1.81695,1.12873,True,0.371,0.2179,0.1717,0.0962,758
48,2,19,960,9431662,9431662,100.0,1433.61,460,1.79948,1.74765,1.11363,True,0.2299,0.2233,0.1498,0.0868,739
49,2,19,960,9431662,9431662,100.0,1433.61,460,1.77039,1.78618,1.11976,True,0.3968,0.2056,0.1738,0.0989,761
50,2,19,960,9431662,9431662,100.0,1433.61,460,1.71179,1.65001,1.08465,True,0.3419,0.2263,0.1737,0.0985,739
