round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,1,19,960,9431662,9431662,100.0,1433.61,230,1.85328,4.58253,1.19395,True,0.0784,0.1176,0.045,0.029,1018
2,1,19,960,9431662,9431662,100.0,1433.61,230,1.79385,3.61747,1.10721,True,0.1038,0.1498,0.0609,0.0371,1115
3,1,19,960,9431662,9431662,100.0,1433.61,230,1.75869,3.20909,1.09731,True,0.2155,0.1159,0.0761,0.0412,1208
4,1,19,960,9431662,9431662,100.0,1433.61,230,1.83042,2.86567,1.0985,True,0.1338,0.1583,0.0775,0.0464,1297
5,1,19,960,9431662,9431662,100.0,1433.61,230,1.8278,3.01474,1.10482,True,0.3277,0.1187,0.0845,0.0506,1150
6,1,19,960,9431662,9431662,100.0,1433.61,230,1.72501,2.57262,1.06858,True,0.1385,0.12,0.0703,0.0361,1145
7,1,19,960,9431662,9431662,100.0,1433.61,230,2.05331,2.95347,1.24136,True,0.2242,0.1375,0.0922,0.0506,1213
8,1,19,960,9431662,9431662,100.0,1433.61,230,1.85988,2.57875,1.11058,True,0.3245,0.1762,0.0987,0.0574,1183
9,1,19,960,9431662,9431662,100.0,1433.61,230,1.8418,2.74113,1.11681,True,0.3893,0.1299,0.0986,0.0555,1036
10,1,19,960,9431662,9431662,100.0,1433.61,230,1.83321,2.60459,1.07868,True,0.2892,0.1468,0.0998,0.0557,972
11,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2953,0.144,0.1002,0.0554,940
12,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2934,0.1411,0.0993,0.0546,906
13,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2882,0.1407,0.0987,0.0542,896
14,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2858,0.1398,0.0984,0.0538,879
15,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1392,0.0981,0.0534,872
16,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2863,0.1393,0.0979,0.0533,869
17,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.286,0.1395,0.098,0.0533,886
18,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2858,0.1393,0.0979,0.0532,864
19,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2867,0.1386,0.0979,0.0532,870
20,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1386,0.0979,0.0533,862
21,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1386,0.0978,0.0531,861
22,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2872,0.1385,0.0977,0.0531,876
23,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2873,0.1386,0.0978,0.0532,873
24,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1386,0.0978,0.0531,897
25,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1386,0.0977,0.053,864
26,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.287,0.1386,0.0978,0.0531,862
27,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2873,0.1385,0.0978,0.0531,928
28,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2872,0.1385,0.0978,0.0531,893
29,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2869,0.1386,0.0977,0.053,858
30,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2872,0.1385,0.0978,0.0531,864
31,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2872,0.1385,0.0978,0.0531,912
32,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2873,0.1386,0.0977,0.053,867
33,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2869,0.1386,0.0977,0.053,875
34,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2871,0.1385,0.0978,0.0531,875
35,1,19,960,9431662,9431662,100.0,1433.61,230,1.83145,2.6011,1.07831,True,0.2872,0.1385,0.0977,0.053,866
36,2,19,960,9431662,9431662,100.0,1433.61,460,2.04359,2.99347,1.22437,True,0.0299,0.1122,0.0187,0.011,1024
37,2,19,960,9431662,9431662,100.0,1433.61,460,2.03227,4.16399,1.2689,True,0.4378,0.0483,0.0184,0.0082,971
38,2,19,960,9431662,9431662,100.0,1433.61,460,2.33301,4.29769,1.34306,True,0.1455,0.072,0.0258,0.014,847
39,2,19,960,9431662,9431662,100.0,1433.61,460,2.22944,3.53812,1.30052,True,0.2716,0.0841,0.0519,0.0246,954
40,2,19,960,9431662,9431662,100.0,1433.61,460,2.25698,4.05582,1.3695,True,0.3955,0.0994,0.0664,0.0319,782
41,2,19,960,9431662,9431662,100.0,1433.61,460,2.23095,2.89638,1.31878,True,0.3703,0.1013,0.0408,0.0176,869
42,2,19,960,9431662,9431662,100.0,1433.61,460,1.90929,3.77341,1.16571,True,0.6749,0.0877,0.0603,0.0301,788
43,2,19,960,9431662,9431662,100.0,1433.61,460,1.88282,2.72224,1.16419,True,0.3191,0.0975,0.0755,0.0448,896
44,2,19,960,9431662,9431662,100.0,1433.61,460,1.90432,3.39718,1.21935,True,0.2856,0.1435,0.0733,0.0368,829
45,2,19,960,9431662,9431662,100.0,1433.61,460,1.86257,2.56388,1.17196,True,0.2897,0.1946,0.0779,0.0442,836
46,2,19,960,9431662,9431662,100.0,1433.61,460,1.87877,2.84656,1.15864,True,0.6796,0.0878,0.0714,0.0423,872
47,2,19,960,9431662,9431662,100.0,1433.61,460,1.96776,2.44716,1.18144,True,0.2313,0.1542,0.0861,0.0433,816
48,2,19,960,9431662,9431662,100.0,1433.61,460,1.97757,2.81772,1.20358,True,0.6456,0.0925,0.0726,0.0449,810
49,2,19,960,9431662,9431662,100.0,1433.61,460,1.83901,2.37342,1.13949,True,0.3537,0.161,0.0865,0.0455,867
50,2,19,960,9431662,9431662,100.0,1433.61,460,1.76993,2.82406,1.11675,True,0.333,0.1859,0.1045,0.0571,752
