round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,536,1.92186,2.01808,1.17023,True,0.3046,0.3247,0.2283,0.1273,514
2,2,19,960,9431662,9431662,100.0,1433.61,536,1.62932,1.52104,1.04156,True,0.5135,0.4097,0.3932,0.2314,511
3,2,19,960,9431662,9431662,100.0,1433.61,536,1.60774,1.43928,1.03074,True,0.5166,0.4146,0.4104,0.2468,508
4,2,19,960,9431662,9431662,100.0,1433.61,536,1.69882,1.42232,1.08556,True,0.4884,0.41,0.389,0.2274,510
5,2,19,960,9431662,9431662,100.0,1433.61,536,1.5732,1.31938,1.02273,True,0.4848,0.4022,0.3862,0.2269,510
6,2,19,960,9431662,9431662,100.0,1433.61,536,1.62114,1.32125,1.05227,True,0.5143,0.4164,0.4049,0.2386,508
7,2,19,960,9431662,9431662,100.0,1433.61,536,1.49137,1.22468,0.9882,True,0.4666,0.4217,0.3895,0.2274,514
8,2,19,960,9431662,9431662,100.0,1433.61,536,1.5515,1.28876,1.01244,True,0.5397,0.4299,0.4267,0.2538,511
9,2,19,960,9431662,9431662,100.0,1433.61,536,1.47287,1.19135,0.98402,True,0.4824,0.4377,0.4083,0.2401,512
10,2,19,960,9431662,9431662,100.0,1433.61,536,1.53465,1.24696,1.00382,True,0.5245,0.44,0.4276,0.2545,512
11,2,19,960,9431662,9431662,100.0,1433.61,536,1.49628,1.18923,0.99516,True,0.5194,0.4473,0.428,0.2533,516
12,2,19,960,9431662,9431662,100.0,1433.61,536,1.50504,1.21633,0.99559,True,0.515,0.436,0.4219,0.2498,510
13,2,19,960,9431662,9431662,100.0,1433.61,536,1.48228,1.22029,0.98704,True,0.5308,0.4432,0.4299,0.2561,515
14,2,19,960,9431662,9431662,100.0,1433.61,536,1.51079,1.19955,0.99886,True,0.5232,0.4283,0.4182,0.2462,513
15,2,19,960,9431662,9431662,100.0,1433.61,536,1.47038,1.17406,0.97407,True,0.5171,0.4474,0.4313,0.2576,515
16,2,19,960,9431662,9431662,100.0,1433.61,536,1.5307,1.17377,1.01824,True,0.5018,0.4157,0.4043,0.235,513
17,2,19,960,9431662,9431662,100.0,1433.61,536,1.50769,1.19814,0.9995,True,0.5179,0.4436,0.4254,0.2542,516
18,2,19,960,9431662,9431662,100.0,1433.61,536,1.50478,1.15354,1.00572,True,0.5122,0.4183,0.4082,0.2395,514
19,2,19,960,9431662,9431662,100.0,1433.61,536,1.50002,1.15162,0.9989,True,0.5251,0.4392,0.4294,0.2552,516
20,2,19,960,9431662,9431662,100.0,1433.61,536,1.49927,1.17507,0.98889,True,0.5412,0.4239,0.4191,0.2478,522
21,2,19,960,9431662,9431662,100.0,1433.61,536,1.53638,1.14822,1.01363,True,0.5305,0.4402,0.4291,0.2555,518
22,2,19,960,9431662,9431662,100.0,1433.61,536,1.47415,1.16009,0.98601,True,0.5147,0.4188,0.4042,0.2389,516
23,2,19,960,9431662,9431662,100.0,1433.61,536,1.52589,1.11998,1.00528,True,0.5211,0.4398,0.4251,0.2522,515
24,2,19,960,9431662,9431662,100.0,1433.61,536,1.43316,1.11754,0.97087,True,0.5172,0.4198,0.4095,0.2441,514
25,2,19,960,9431662,9431662,100.0,1433.61,536,1.49942,1.12379,1.00679,True,0.5241,0.4308,0.4189,0.2453,515
26,2,19,960,9431662,9431662,100.0,1433.61,536,1.43246,1.12841,0.97148,True,0.5156,0.4212,0.4115,0.245,517
27,2,19,960,9431662,9431662,100.0,1433.61,536,1.5273,1.15261,1.01873,True,0.5221,0.4374,0.4208,0.2473,519
28,2,19,960,9431662,9431662,100.0,1433.61,536,1.53374,1.16907,1.01207,True,0.5038,0.4142,0.4032,0.2395,514
29,2,19,960,9431662,9431662,100.0,1433.61,536,1.49769,1.14059,1.00539,True,0.5084,0.4254,0.4095,0.2412,507
30,2,19,960,9431662,9431662,100.0,1433.61,536,1.51689,1.11117,0.98868,True,0.5166,0.41,0.4055,0.2416,516
31,2,19,960,9431662,9431662,100.0,1433.61,536,1.5505,1.22613,1.02171,True,0.5129,0.4177,0.3995,0.2332,507
32,2,19,960,9431662,9431662,100.0,1433.61,536,1.5431,1.12202,0.98955,True,0.5156,0.4191,0.4112,0.2443,510
33,2,19,960,9431662,9431662,100.0,1433.61,536,1.47728,1.10459,0.99296,True,0.5167,0.4142,0.4027,0.2357,509
34,2,19,960,9431662,9431662,100.0,1433.61,536,1.43528,1.06385,0.96188,True,0.5168,0.4225,0.4115,0.2447,512
35,2,19,960,9431662,9431662,100.0,1433.61,536,1.49081,1.15912,1.00941,True,0.5081,0.416,0.4019,0.2368,509
36,2,19,960,9431662,9431662,100.0,1433.61,536,1.42946,1.0468,0.96268,True,0.5182,0.4195,0.4087,0.2422,515
37,2,19,960,9431662,9431662,100.0,1433.61,536,1.47188,1.12299,1.00065,True,0.5064,0.4186,0.3998,0.2358,511
38,2,19,960,9431662,9431662,100.0,1433.61,536,1.41642,1.00611,0.95792,True,0.5171,0.4196,0.4057,0.239,512
39,2,19,960,9431662,9431662,100.0,1433.61,536,1.4353,1.06609,0.98193,True,0.5177,0.4158,0.408,0.2414,507
40,2,19,960,9431662,9431662,100.0,1433.61,536,1.42061,1.01438,0.95926,True,0.5045,0.4271,0.4078,0.2411,505
41,2,19,960,9431662,9431662,100.0,1433.61,536,1.50579,1.09539,1.00687,True,0.5052,0.4232,0.405,0.2396,506
42,2,19,960,9431662,9431662,100.0,1433.61,536,1.43688,1.03893,0.96368,True,0.5157,0.4128,0.4005,0.2369,505
43,2,19,960,9431662,9431662,100.0,1433.61,536,1.46225,1.05885,0.98952,True,0.4884,0.4234,0.4007,0.2363,506
44,2,19,960,9431662,9431662,100.0,1433.61,536,1.43189,1.03747,0.96165,True,0.5114,0.4172,0.4026,0.2384,507
45,2,19,960,9431662,9431662,100.0,1433.61,536,1.47889,1.05495,0.99391,True,0.4958,0.426,0.4008,0.2345,509
46,2,19,960,9431662,9431662,100.0,1433.61,536,1.45862,1.0582,0.97148,True,0.5073,0.4149,0.4002,0.2365,506
47,2,19,960,9431662,9431662,100.0,1433.61,536,1.55411,1.11874,1.0199,True,0.5013,0.4186,0.3938,0.2309,507
48,2,19,960,9431662,9431662,100.0,1433.61,536,1.45718,1.02454,0.97028,True,0.497,0.4112,0.398,0.2353,506
49,2,19,960,9431662,9431662,100.0,1433.61,536,1.4743,1.07222,0.99201,True,0.5054,0.4084,0.3939,0.2315,507
50,2,19,960,9431662,9431662,100.0,1433.61,536,1.4383,1.0282,0.9729,True,0.5025,0.4084,0.3966,0.2345,502
