round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,536,1.92187,2.01815,1.17023,True,0.3044,0.3264,0.2288,0.1276,900
2,2,19,960,9431662,9431662,100.0,1433.61,536,1.61131,1.51291,1.03389,True,0.5085,0.4114,0.392,0.2306,900
3,2,19,960,9431662,9431662,100.0,1433.61,536,1.60459,1.44641,1.03214,True,0.5132,0.4154,0.4093,0.2457,900
4,2,19,960,9431662,9431662,100.0,1433.61,536,1.68593,1.44196,1.08061,True,0.4887,0.4122,0.3937,0.2296,899
5,2,19,960,9431662,9431662,100.0,1433.61,536,1.5834,1.3187,1.02353,True,0.4708,0.3846,0.3681,0.2143,902
6,2,19,960,9431662,9431662,100.0,1433.61,536,1.59551,1.35197,1.03669,True,0.5151,0.4151,0.4029,0.2381,899
7,2,19,960,9431662,9431662,100.0,1433.61,536,1.48057,1.19427,0.98448,True,0.4779,0.4244,0.3928,0.2286,902
8,2,19,960,9431662,9431662,100.0,1433.61,536,1.54382,1.31725,1.00676,True,0.5321,0.4314,0.4281,0.2559,899
9,2,19,960,9431662,9431662,100.0,1433.61,536,1.51428,1.23971,1.00345,True,0.4974,0.43,0.4057,0.239,900
10,2,19,960,9431662,9431662,100.0,1433.61,536,1.48913,1.21554,0.98475,True,0.5157,0.4198,0.4128,0.2462,899
11,2,19,960,9431662,9431662,100.0,1433.61,536,1.5031,1.18716,0.99693,True,0.5235,0.4563,0.4384,0.2604,899
12,2,19,960,9431662,9431662,100.0,1433.61,536,1.5044,1.16817,0.98834,True,0.4971,0.4184,0.4017,0.2395,898
13,2,19,960,9431662,9431662,100.0,1433.61,536,1.48898,1.20238,0.99332,True,0.5257,0.4409,0.4265,0.2541,902
14,2,19,960,9431662,9431662,100.0,1433.61,536,1.53674,1.17058,0.99527,True,0.4995,0.4087,0.4004,0.2377,907
15,2,19,960,9431662,9431662,100.0,1433.61,536,1.48174,1.16092,0.99197,True,0.5167,0.4477,0.4288,0.2553,908
16,2,19,960,9431662,9431662,100.0,1433.61,536,1.53835,1.13764,0.99766,True,0.5055,0.3972,0.3958,0.2358,899
17,2,19,960,9431662,9431662,100.0,1433.61,536,1.56278,1.22366,1.02985,True,0.5152,0.4406,0.426,0.2509,903
18,2,19,960,9431662,9431662,100.0,1433.61,536,1.53477,1.16432,0.99306,True,0.524,0.418,0.4139,0.247,917
19,2,19,960,9431662,9431662,100.0,1433.61,536,1.53506,1.22256,1.01251,True,0.5183,0.4291,0.4164,0.2435,905
20,2,19,960,9431662,9431662,100.0,1433.61,536,1.46614,1.10115,0.96812,True,0.5156,0.438,0.4253,0.2545,905
21,2,19,960,9431662,9431662,100.0,1433.61,536,1.45185,1.16343,0.97809,True,0.5114,0.4254,0.4096,0.2368,902
22,2,19,960,9431662,9431662,100.0,1433.61,536,1.47434,1.17591,0.97322,True,0.5249,0.4389,0.4268,0.2549,905
23,2,19,960,9431662,9431662,100.0,1433.61,536,1.42092,1.14484,0.96454,True,0.5317,0.4187,0.4139,0.2423,902
24,2,19,960,9431662,9431662,100.0,1433.61,536,1.4612,1.11954,0.97719,True,0.5361,0.4356,0.4287,0.2549,899
25,2,19,960,9431662,9431662,100.0,1433.61,536,1.4195,1.10937,0.96355,True,0.5218,0.43,0.4173,0.2484,897
26,2,19,960,9431662,9431662,100.0,1433.61,536,1.45834,1.109,0.98774,True,0.5208,0.4336,0.423,0.2511,898
27,2,19,960,9431662,9431662,100.0,1433.61,536,1.41558,1.10415,0.9647,True,0.5149,0.4297,0.4156,0.2476,899
28,2,19,960,9431662,9431662,100.0,1433.61,536,1.47929,1.0918,0.99915,True,0.5284,0.4284,0.4194,0.2468,900
29,2,19,960,9431662,9431662,100.0,1433.61,536,1.39877,1.0714,0.95723,True,0.53,0.4182,0.4143,0.2465,899
30,2,19,960,9431662,9431662,100.0,1433.61,536,1.45895,1.05772,0.98564,True,0.5142,0.4305,0.4107,0.2426,899
31,2,19,960,9431662,9431662,100.0,1433.61,536,1.41247,1.07781,0.9599,True,0.5158,0.4243,0.4156,0.247,898
32,2,19,960,9431662,9431662,100.0,1433.61,536,1.41572,1.02482,0.97424,True,0.5096,0.4351,0.4122,0.243,902
33,2,19,960,9431662,9431662,100.0,1433.61,536,1.45321,1.10798,0.97428,True,0.5053,0.4284,0.4148,0.2459,900
34,2,19,960,9431662,9431662,100.0,1433.61,536,1.43742,1.0468,0.97478,True,0.502,0.4285,0.4059,0.2384,900
35,2,19,960,9431662,9431662,100.0,1433.61,536,1.44395,1.06368,0.96397,True,0.5042,0.435,0.4158,0.2467,905
36,2,19,960,9431662,9431662,100.0,1433.61,536,1.40242,1.03416,0.96494,True,0.5144,0.4295,0.4053,0.2385,912
37,2,19,960,9431662,9431662,100.0,1433.61,536,1.44563,1.09675,0.96591,True,0.5154,0.4205,0.4089,0.2419,919
38,2,19,960,9431662,9431662,100.0,1433.61,536,1.48031,1.12079,0.98981,True,0.5038,0.4254,0.3998,0.2345,905
39,2,19,960,9431662,9431662,100.0,1433.61,536,1.45396,1.04763,0.97029,True,0.5164,0.4155,0.4076,0.2403,908
40,2,19,960,9431662,9431662,100.0,1433.61,536,1.47201,1.09487,0.98817,True,0.517,0.4258,0.4059,0.2396,907
41,2,19,960,9431662,9431662,100.0,1433.61,536,1.44392,1.01992,0.96694,True,0.5087,0.4221,0.4087,0.2403,902
42,2,19,960,9431662,9431662,100.0,1433.61,536,1.39927,1.02154,0.96832,True,0.5074,0.4186,0.4005,0.2361,903
43,2,19,960,9431662,9431662,100.0,1433.61,536,1.45172,1.0442,0.97232,True,0.5146,0.4191,0.4084,0.2397,908
