round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,536,1.905,1.34509,1.16162,True,0.2718,0.2982,0.1892,0.1061,518
2,2,19,960,9431662,9431662,100.0,1433.61,536,1.66741,1.04779,1.06354,True,0.5327,0.4033,0.3928,0.2307,519
3,2,19,960,9431662,9431662,100.0,1433.61,536,1.65641,1.05914,1.04537,True,0.4983,0.3892,0.3718,0.2189,519
4,2,19,960,9431662,9431662,100.0,1433.61,536,1.59879,0.973,1.01833,True,0.5163,0.417,0.401,0.2358,513
5,2,19,960,9431662,9431662,100.0,1433.61,536,1.62013,1.03435,1.01642,True,0.5172,0.4387,0.421,0.251,512
6,2,19,960,9431662,9431662,100.0,1433.61,536,1.56567,0.96983,1.00414,True,0.5137,0.412,0.3916,0.2276,508
7,2,19,960,9431662,9431662,100.0,1433.61,536,1.55785,0.99155,0.98958,True,0.5424,0.4437,0.4341,0.2598,508
8,2,19,960,9431662,9431662,100.0,1433.61,536,1.50669,0.9023,0.99797,True,0.5165,0.4241,0.4022,0.2364,510
9,2,19,960,9431662,9431662,100.0,1433.61,536,1.56727,0.90956,1.00022,True,0.5431,0.4379,0.4303,0.2581,512
10,2,19,960,9431662,9431662,100.0,1433.61,536,1.57525,0.92676,1.04285,True,0.5054,0.4215,0.4054,0.2394,511
11,2,19,960,9431662,9431662,100.0,1433.61,536,1.55466,0.8973,0.99153,True,0.5458,0.4341,0.4298,0.2592,512
12,2,19,960,9431662,9431662,100.0,1433.61,536,1.56912,0.88802,1.03115,True,0.5259,0.4413,0.4265,0.2541,512
13,2,19,960,9431662,9431662,100.0,1433.61,536,1.53365,0.87817,0.98894,True,0.5244,0.4302,0.4198,0.2518,512
14,2,19,960,9431662,9431662,100.0,1433.61,536,1.53581,0.82984,1.01524,True,0.5227,0.4387,0.4229,0.2535,511
15,2,19,960,9431662,9431662,100.0,1433.61,536,1.56109,0.88208,1.00108,True,0.5352,0.4263,0.4197,0.2507,513
16,2,19,960,9431662,9431662,100.0,1433.61,536,1.55777,0.86679,1.0195,True,0.5145,0.4395,0.4199,0.2495,512
17,2,19,960,9431662,9431662,100.0,1433.61,536,1.52415,0.85329,0.98972,True,0.522,0.4261,0.4199,0.2494,510
18,2,19,960,9431662,9431662,100.0,1433.61,536,1.55315,0.87155,1.0175,True,0.524,0.4357,0.4205,0.2482,506
19,2,19,960,9431662,9431662,100.0,1433.61,536,1.52225,0.8881,0.9892,True,0.5228,0.4077,0.4063,0.2434,502
20,2,19,960,9431662,9431662,100.0,1433.61,536,1.52366,0.84656,1.00936,True,0.5242,0.4346,0.418,0.2461,508
21,2,19,960,9431662,9431662,100.0,1433.61,536,1.4931,0.83363,0.98352,True,0.5163,0.4204,0.4131,0.2476,512
22,2,19,960,9431662,9431662,100.0,1433.61,536,1.49123,0.83388,0.99359,True,0.5246,0.4327,0.417,0.2468,507
23,2,19,960,9431662,9431662,100.0,1433.61,536,1.47992,0.80943,0.97509,True,0.5281,0.4192,0.414,0.2485,512
24,2,19,960,9431662,9431662,100.0,1433.61,536,1.4937,0.84642,0.99892,True,0.5242,0.4373,0.4174,0.247,508
25,2,19,960,9431662,9431662,100.0,1433.61,536,1.48049,0.77943,0.97463,True,0.5202,0.4205,0.414,0.2461,504
26,2,19,960,9431662,9431662,100.0,1433.61,536,1.47008,0.83075,0.99006,True,0.5192,0.4346,0.4177,0.2472,506
27,2,19,960,9431662,9431662,100.0,1433.61,536,1.46606,0.76309,0.97357,True,0.5228,0.4283,0.4167,0.2468,510
28,2,19,960,9431662,9431662,100.0,1433.61,536,1.45948,0.82442,0.98508,True,0.5233,0.4242,0.4122,0.2452,513
29,2,19,960,9431662,9431662,100.0,1433.61,536,1.44949,0.7569,0.9645,True,0.5245,0.4255,0.4166,0.2459,509
30,2,19,960,9431662,9431662,100.0,1433.61,536,1.49554,0.83078,1.00084,True,0.5168,0.414,0.4036,0.2386,505
31,2,19,960,9431662,9431662,100.0,1433.61,536,1.4275,0.75673,0.96136,True,0.5221,0.4338,0.4177,0.2479,506
32,2,19,960,9431662,9431662,100.0,1433.61,536,1.47615,0.80957,0.98693,True,0.5213,0.4136,0.4031,0.2374,506
33,2,19,960,9431662,9431662,100.0,1433.61,536,1.42547,0.78124,0.95912,True,0.5191,0.4335,0.4177,0.2477,514
34,2,19,960,9431662,9431662,100.0,1433.61,536,1.45825,0.78399,0.97713,True,0.5218,0.4139,0.4101,0.2406,507
35,2,19,960,9431662,9431662,100.0,1433.61,536,1.43804,0.7744,0.98103,True,0.5118,0.4302,0.4076,0.2399,505
36,2,19,960,9431662,9431662,100.0,1433.61,536,1.46554,0.80353,0.97514,True,0.5249,0.4101,0.4066,0.2407,505
37,2,19,960,9431662,9431662,100.0,1433.61,536,1.43872,0.81931,0.97808,True,0.5201,0.4066,0.3984,0.2342,507
38,2,19,960,9431662,9431662,100.0,1433.61,536,1.45164,0.79094,0.97515,True,0.5242,0.4125,0.4069,0.2409,503
39,2,19,960,9431662,9431662,100.0,1433.61,536,1.42639,0.79747,0.96677,True,0.5138,0.4131,0.3985,0.2337,502
40,2,19,960,9431662,9431662,100.0,1433.61,536,1.44099,0.76565,0.97328,True,0.516,0.4187,0.4049,0.2403,506
41,2,19,960,9431662,9431662,100.0,1433.61,536,1.4027,0.75387,0.96688,True,0.5169,0.4131,0.3984,0.2316,506
