round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,536,1.90382,1.34485,1.16116,True,0.2678,0.2979,0.1894,0.1063,2729
2,2,19,960,9431662,9431662,100.0,1433.61,536,1.69239,1.10005,1.07035,True,0.5257,0.4106,0.3976,0.2339,2796
3,2,19,960,9431662,9431662,100.0,1433.61,536,1.64764,1.06296,1.04005,True,0.5021,0.3811,0.364,0.2162,2745
4,2,19,960,9431662,9431662,100.0,1433.61,536,1.56505,0.94393,1.00612,True,0.5349,0.4261,0.4117,0.2422,2783
5,2,19,960,9431662,9431662,100.0,1433.61,536,1.66523,1.02335,1.03147,True,0.5012,0.4424,0.4177,0.2493,2802
6,2,19,960,9431662,9431662,100.0,1433.61,536,1.57154,0.96261,1.00719,True,0.5036,0.4074,0.3842,0.2209,2693
7,2,19,960,9431662,9431662,100.0,1433.61,536,1.57569,0.98882,0.99584,True,0.5383,0.4433,0.4325,0.2604,2693
8,2,19,960,9431662,9431662,100.0,1433.61,536,1.47697,0.91906,0.9809,True,0.5106,0.4257,0.4005,0.2362,2705
9,2,19,960,9431662,9431662,100.0,1433.61,536,1.58023,0.96263,1.01257,True,0.5337,0.4203,0.4128,0.2493,2743
10,2,19,960,9431662,9431662,100.0,1433.61,536,1.50944,0.91022,0.99954,True,0.5428,0.438,0.421,0.2496,2894
11,2,19,960,9431662,9431662,100.0,1433.61,536,1.54919,0.87244,0.99393,True,0.5076,0.4127,0.4082,0.247,2628
12,2,19,960,9431662,9431662,100.0,1433.61,536,1.54543,0.84985,1.02753,True,0.5205,0.4405,0.4261,0.254,2677
13,2,19,960,9431662,9431662,100.0,1433.61,536,1.52657,0.86654,0.99528,True,0.4999,0.4206,0.4045,0.2424,2682
14,2,19,960,9431662,9431662,100.0,1433.61,536,1.53858,0.82422,1.0154,True,0.5235,0.4384,0.4246,0.2539,2762
15,2,19,960,9431662,9431662,100.0,1433.61,536,1.476,0.80494,0.97715,True,0.5174,0.4359,0.4179,0.2507,2843
16,2,19,960,9431662,9431662,100.0,1433.61,536,1.52209,0.88094,1.00568,True,0.536,0.4389,0.4259,0.2528,2816
17,2,19,960,9431662,9431662,100.0,1433.61,536,1.51952,0.82967,0.9936,True,0.5178,0.4199,0.4118,0.2459,2816
18,2,19,960,9431662,9431662,100.0,1433.61,536,1.50532,0.84613,0.99802,True,0.536,0.4344,0.4242,0.2512,2677
19,2,19,960,9431662,9431662,100.0,1433.61,536,1.47609,0.80235,0.97612,True,0.5406,0.4343,0.4238,0.254,2648
20,2,19,960,9431662,9431662,100.0,1433.61,536,1.51273,0.82525,0.99343,True,0.5235,0.4315,0.4211,0.2505,2703
21,2,19,960,9431662,9431662,100.0,1433.61,536,1.48945,0.81065,0.9852,True,0.5282,0.4358,0.4239,0.2537,2766
22,2,19,960,9431662,9431662,100.0,1433.61,536,1.49255,0.81584,0.99262,True,0.5098,0.4258,0.4086,0.2407,2729
23,2,19,960,9431662,9431662,100.0,1433.61,536,1.4854,0.8052,0.97532,True,0.5334,0.4298,0.4213,0.2528,2734
24,2,19,960,9431662,9431662,100.0,1433.61,536,1.50453,0.85765,0.99831,True,0.5136,0.4303,0.4134,0.2452,2693
25,2,19,960,9431662,9431662,100.0,1433.61,536,1.46361,0.75619,0.9738,True,0.5308,0.4427,0.4281,0.2561,2636
26,2,19,960,9431662,9431662,100.0,1433.61,536,1.51555,0.84292,1.0051,True,0.5088,0.426,0.4126,0.2451,2689
