round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,536,1.92122,2.01772,1.16975,True,0.3027,0.3272,0.2289,0.1277,1117
2,2,19,960,9431662,9431662,100.0,1433.61,536,1.61286,1.51355,1.0339,True,0.5108,0.4132,0.3942,0.2319,1070
3,2,19,960,9431662,9431662,100.0,1433.61,536,1.6107,1.46594,1.03637,True,0.5179,0.4153,0.4122,0.2474,1052
4,2,19,960,9431662,9431662,100.0,1433.61,536,1.67773,1.45587,1.07588,True,0.4937,0.4224,0.4026,0.2359,1076
5,2,19,960,9431662,9431662,100.0,1433.61,536,1.58855,1.33363,1.02931,True,0.4774,0.4096,0.3902,0.2271,1050
6,2,19,960,9431662,9431662,100.0,1433.61,536,1.57831,1.33917,1.02916,True,0.4989,0.4124,0.3942,0.2347,1038
7,2,19,960,9431662,9431662,100.0,1433.61,536,1.47583,1.2203,0.98308,True,0.4794,0.4279,0.4011,0.2364,1042
8,2,19,960,9431662,9431662,100.0,1433.61,536,1.52612,1.27785,1.00818,True,0.5207,0.4065,0.3986,0.2342,1042
9,2,19,960,9431662,9431662,100.0,1433.61,536,1.45441,1.1889,0.97347,True,0.522,0.4471,0.4325,0.2588,1089
10,2,19,960,9431662,9431662,100.0,1433.61,536,1.53463,1.2052,1.00095,True,0.5076,0.4047,0.4005,0.2373,1048
11,2,19,960,9431662,9431662,100.0,1433.61,536,1.51011,1.22144,1.00341,True,0.5188,0.4371,0.4218,0.2493,1043
12,2,19,960,9431662,9431662,100.0,1433.61,536,1.54972,1.17806,1.00432,True,0.4907,0.4204,0.4021,0.2378,1044
13,2,19,960,9431662,9431662,100.0,1433.61,536,1.54969,1.19579,1.01616,True,0.5317,0.444,0.4326,0.258,1051
14,2,19,960,9431662,9431662,100.0,1433.61,536,1.54975,1.18361,0.99941,True,0.5024,0.4123,0.397,0.2354,1057
15,2,19,960,9431662,9431662,100.0,1433.61,536,1.52771,1.20716,1.00324,True,0.5275,0.436,0.4257,0.2506,1059
16,2,19,960,9431662,9431662,100.0,1433.61,536,1.52493,1.20197,0.98541,True,0.5139,0.4295,0.4154,0.2487,1068
17,2,19,960,9431662,9431662,100.0,1433.61,536,1.49441,1.19008,0.98881,True,0.5355,0.4319,0.423,0.2477,1047
18,2,19,960,9431662,9431662,100.0,1433.61,536,1.53063,1.21329,0.98669,True,0.5143,0.4259,0.4159,0.2492,1038
19,2,19,960,9431662,9431662,100.0,1433.61,536,1.47395,1.15753,0.98629,True,0.526,0.4373,0.4218,0.2465,1046
20,2,19,960,9431662,9431662,100.0,1433.61,536,1.51238,1.13585,0.97998,True,0.5211,0.435,0.4263,0.254,1048
21,2,19,960,9431662,9431662,100.0,1433.61,536,1.49376,1.17033,0.99702,True,0.526,0.4274,0.4164,0.246,1061
22,2,19,960,9431662,9431662,100.0,1433.61,536,1.46486,1.07388,0.97467,True,0.5068,0.4351,0.4251,0.253,1043
23,2,19,960,9431662,9431662,100.0,1433.61,536,1.46183,1.14125,0.98175,True,0.5195,0.4332,0.4202,0.2491,1049
24,2,19,960,9431662,9431662,100.0,1433.61,536,1.5098,1.11653,0.99426,True,0.5232,0.4361,0.4283,0.2553,1040
25,2,19,960,9431662,9431662,100.0,1433.61,536,1.45954,1.1195,0.9776,True,0.525,0.4292,0.4171,0.2474,1044
26,2,19,960,9431662,9431662,100.0,1433.61,536,1.48952,1.11205,0.98679,True,0.5165,0.4249,0.4187,0.2467,1045
27,2,19,960,9431662,9431662,100.0,1433.61,536,1.4374,1.10179,0.972,True,0.53,0.4279,0.4162,0.246,1043
28,2,19,960,9431662,9431662,100.0,1433.61,536,1.44391,1.05908,0.97426,True,0.5162,0.4289,0.4194,0.2483,1040
29,2,19,960,9431662,9431662,100.0,1433.61,536,1.46328,1.11193,0.97872,True,0.5241,0.4238,0.4133,0.2443,1038
30,2,19,960,9431662,9431662,100.0,1433.61,536,1.48579,1.09254,0.99342,True,0.5143,0.4245,0.412,0.2417,1049
31,2,19,960,9431662,9431662,100.0,1433.61,536,1.42586,1.0923,0.96292,True,0.5225,0.4223,0.4122,0.2444,1043
32,2,19,960,9431662,9431662,100.0,1433.61,536,1.41596,1.06856,0.96756,True,0.5193,0.422,0.4087,0.2423,1056
33,2,19,960,9431662,9431662,100.0,1433.61,536,1.46255,1.11421,0.97965,True,0.5215,0.4279,0.4147,0.2451,1066
34,2,19,960,9431662,9431662,100.0,1433.61,536,1.41433,1.04911,0.97069,True,0.5198,0.4222,0.4084,0.2415,1053
35,2,19,960,9431662,9431662,100.0,1433.61,536,1.43181,1.09413,0.96718,True,0.5151,0.4266,0.4115,0.2443,1049
36,2,19,960,9431662,9431662,100.0,1433.61,536,1.40043,1.02466,0.96186,True,0.512,0.4257,0.4052,0.239,1050
37,2,19,960,9431662,9431662,100.0,1433.61,536,1.44242,1.12249,0.97118,True,0.5214,0.4311,0.4175,0.247,1053
38,2,19,960,9431662,9431662,100.0,1433.61,536,1.41558,1.0848,0.9653,True,0.5101,0.4154,0.4006,0.2351,1056
39,2,19,960,9431662,9431662,100.0,1433.61,536,1.43563,1.13365,0.96992,True,0.5182,0.4217,0.407,0.2411,1048
40,2,19,960,9431662,9431662,100.0,1433.61,536,1.41924,1.10456,0.97161,True,0.5143,0.4158,0.4014,0.236,1039
41,2,19,960,9431662,9431662,100.0,1433.61,536,1.45785,1.11418,0.97093,True,0.5114,0.4233,0.4082,0.2414,1039
42,2,19,960,9431662,9431662,100.0,1433.61,536,1.42757,1.09581,0.97896,True,0.513,0.4161,0.4015,0.2361,1026
43,2,19,960,9431662,9431662,100.0,1433.61,536,1.41379,1.03271,0.95619,True,0.5172,0.4136,0.4071,0.2399,1020
44,2,19,960,9431662,9431662,100.0,1433.61,536,1.45987,1.10237,0.99375,True,0.5034,0.415,0.3957,0.2317,1022
45,2,19,960,9431662,9431662,100.0,1433.61,536,1.43954,1.0372,0.96469,True,0.507,0.4269,0.4052,0.2383,1028
46,2,19,960,9431662,9431662,100.0,1433.61,536,1.42443,1.05521,0.98263,True,0.5045,0.4135,0.3918,0.2315,1026
47,2,19,960,9431662,9431662,100.0,1433.61,536,1.42511,1.03743,0.96586,True,0.5116,0.4107,0.3993,0.2354,1025
48,2,19,960,9431662,9431662,100.0,1433.61,536,1.41567,1.02322,0.97887,True,0.5004,0.4124,0.3933,0.2311,1031
49,2,19,960,9431662,9431662,100.0,1433.61,536,1.43727,1.06272,0.96949,True,0.4996,0.4264,0.4035,0.2379,1039
50,2,19,960,9431662,9431662,100.0,1433.61,536,1.43634,1.03077,0.98455,True,0.5014,0.4152,0.3933,0.2312,1028
