epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.079,1.82994,1.67716,1.01592,0.30041,0.21417,0.15566,0.08382,1.69735,1.42158,0.96624,0.00166461,0.00166461,0.0683725
2,374.459,1.81522,1.58497,1.00462,0.35996,0.20964,0.16244,0.0898,1.65585,1.40068,0.96501,0.00316638,0.00316638,0.0365409
3,560.483,1.79196,1.54707,0.9978,0.27816,0.22675,0.16728,0.09252,1.65789,1.38642,0.95598,0.00450314,0.00450314,0.00454435
4,745.212,1.79732,1.53546,0.99716,0.30846,0.21569,0.17138,0.09576,1.61767,1.35891,0.94953,0.0042575,0.0042575,0.0042575
5,930.573,1.77653,1.50528,0.99,0.29896,0.22767,0.17246,0.09623,1.63386,1.37081,0.94875,0.00401,0.00401,0.00401
6,1115.5,1.7693,1.49833,0.98758,0.31512,0.23312,0.18104,0.10026,1.63056,1.34327,0.94648,0.0037625,0.0037625,0.0037625
7,1300.54,1.75137,1.47567,0.98585,0.29239,0.23847,0.18489,0.10279,1.59798,1.29933,0.94748,0.003515,0.003515,0.003515
8,1486.53,1.75555,1.47579,0.98429,0.2962,0.23762,0.18285,0.10218,1.59013,1.3337,0.94706,0.0032675,0.0032675,0.0032675
9,1672.02,1.75783,1.47216,0.98285,0.29849,0.23516,0.19053,0.10646,1.59309,1.28864,0.94239,0.00302,0.00302,0.00302
10,1857.18,1.74016,1.45128,0.98067,0.31045,0.24601,0.19513,0.10758,1.59574,1.27103,0.94562,0.0027725,0.0027725,0.0027725
11,2032.83,1.67655,1.40412,0.98089,0.31616,0.23298,0.18958,0.10524,1.61305,1.29447,0.94555,0.002525,0.002525,0.002525
12,2207.48,1.674,1.39602,0.97866,0.31561,0.24481,0.19754,0.11017,1.59578,1.28072,0.9442,0.0022775,0.0022775,0.0022775
13,2382.56,1.67079,1.38453,0.97795,0.32436,0.24825,0.20275,0.11311,1.58764,1.24871,0.94047,0.00203,0.00203,0.00203
14,2557.62,1.66601,1.37634,0.9743,0.32195,0.24329,0.19926,0.11128,1.58457,1.25914,0.93957,0.0017825,0.0017825,0.0017825
15,2732.11,1.65445,1.36837,0.97394,0.30334,0.24906,0.20135,0.11166,1.57398,1.24831,0.94013,0.001535,0.001535,0.001535
16,2906.87,1.6591,1.36416,0.97199,0.31018,0.24336,0.19877,0.11149,1.5782,1.25677,0.93722,0.0012875,0.0012875,0.0012875
17,3081.53,1.65056,1.3585,0.97021,0.32751,0.25207,0.20626,0.1155,1.56484,1.23058,0.93714,0.00104,0.00104,0.00104
18,3256.44,1.65921,1.35813,0.97055,0.31493,0.25431,0.20963,0.11622,1.56899,1.2334,0.93827,0.0007925,0.0007925,0.0007925
19,3431.2,1.64269,1.34425,0.96835,0.31858,0.25363,0.21005,0.11748,1.56239,1.22279,0.93549,0.000545,0.000545,0.000545
20,3606.74,1.63486,1.34093,0.96739,0.32271,0.254,0.21128,0.11794,1.56367,1.22318,0.93508,0.0002975,0.0002975,0.0002975
