epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.979,2.51015,2.80622,1.04816,0.41518,0.08914,0.05359,0.02756,2.18961,1.83378,0.96333,0.000237963,0.000237963,0.000237963
2,541.853,2.38028,2.12346,0.98809,0.24462,0.1121,0.0687,0.03416,2.1372,1.73128,0.9392,0.000452403,0.000452403,0.000452403
3,802.925,2.34304,2.00481,0.97407,0.2769,0.13049,0.07988,0.0401,2.13249,1.68117,0.92874,0.000643281,0.000643281,0.000643281
4,1065.31,2.29972,1.93365,0.96303,0.20433,0.13069,0.0824,0.04287,2.08124,1.63201,0.9264,0.000607971,0.000607971,0.000607971
5,1325.46,2.27467,1.87467,0.95495,0.31037,0.1422,0.09517,0.04805,2.0546,1.56031,0.92655,0.000572628,0.000572628,0.000572628
6,1586.34,2.25371,1.82593,0.94703,0.23217,0.14604,0.10159,0.05176,2.03386,1.55247,0.91781,0.000537285,0.000537285,0.000537285
7,1847.14,2.21287,1.77837,0.93893,0.26594,0.15133,0.10427,0.05286,2.04946,1.51944,0.91361,0.000501942,0.000501942,0.000501942
8,2111.43,2.21363,1.75756,0.93693,0.25665,0.15913,0.111,0.05695,2.01545,1.49826,0.90798,0.000466599,0.000466599,0.000466599
9,2424.52,2.18419,1.72851,0.93212,0.21697,0.15807,0.11211,0.05747,1.98838,1.47973,0.90306,0.000431256,0.000431256,0.000431256
10,3100.7,2.17109,1.7011,0.92711,0.26042,0.16242,0.11634,0.06044,1.95938,1.47439,0.9038,0.000395913,0.000395913,0.000395913
11,3724.51,2.26364,1.75916,0.90267,0.21814,0.16278,0.11448,0.0583,1.97368,1.47455,0.90333,0.00036057,0.00036057,0.00036057
12,4005.3,2.24142,1.71129,0.89884,0.2063,0.1681,0.11327,0.05776,1.98881,1.48268,0.90585,0.000325227,0.000325227,0.000325227
13,4264.59,2.23683,1.67978,0.89366,0.22647,0.15978,0.11738,0.06033,1.9828,1.45862,0.90347,0.000289884,0.000289884,0.000289884
14,4521.7,2.20122,1.64903,0.88929,0.22898,0.16419,0.11884,0.06142,1.97232,1.45376,0.90166,0.000254541,0.000254541,0.000254541
15,4779.49,2.18769,1.62514,0.89001,0.22023,0.16691,0.11854,0.06072,1.97169,1.44584,0.89902,0.000219198,0.000219198,0.000219198
16,5037.58,2.17281,1.60599,0.88659,0.24307,0.17015,0.12442,0.06448,1.93946,1.43398,0.89735,0.000183855,0.000183855,0.000183855
17,5296.24,2.15754,1.58624,0.88409,0.23135,0.16492,0.1211,0.06211,1.95377,1.44009,0.89877,0.000148512,0.000148512,0.000148512
18,5554.69,2.15056,1.56879,0.88191,0.23852,0.16634,0.12218,0.06353,1.94618,1.42578,0.89651,0.000113169,0.000113169,0.000113169
19,5812.95,2.13681,1.55261,0.87839,0.23872,0.16998,0.12219,0.06371,1.93883,1.42865,0.89701,7.7826e-05,7.7826e-05,7.7826e-05
20,6071.03,2.13709,1.54775,0.87704,0.24951,0.17231,0.12513,0.06533,1.92546,1.41531,0.89511,4.2483e-05,4.2483e-05,4.2483e-05
