epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.445,1.84214,1.39535,0.92001,0.29753,0.22528,0.177,0.0961,1.71438,1.28356,0.91014,0.000237963,0.000237963,0.000237963
2,576.028,1.85204,1.40776,0.92129,0.29547,0.22966,0.17607,0.0933,1.74461,1.30002,0.91719,0.000452403,0.000452403,0.000452403
3,856.909,1.86724,1.4331,0.92323,0.30049,0.22396,0.18053,0.09561,1.75065,1.31661,0.91751,0.000643281,0.000643281,0.000643281
4,1144.21,1.86507,1.43099,0.92515,0.40554,0.21828,0.18168,0.09747,1.74111,1.29529,0.91352,0.000607971,0.000607971,0.000607971
5,1431.72,1.86091,1.43229,0.92355,0.32532,0.21812,0.18236,0.09801,1.7286,1.30428,0.91509,0.000572628,0.000572628,0.000572628
6,1717.63,1.85941,1.42219,0.92181,0.30101,0.22337,0.18234,0.09804,1.72925,1.28397,0.91081,0.000537285,0.000537285,0.000537285
7,2122.66,1.84496,1.40731,0.91731,0.30374,0.22791,0.18256,0.09796,1.71258,1.28262,0.90744,0.000501942,0.000501942,0.000501942
8,60692.9,1.84903,1.40398,0.91886,0.30719,0.23265,0.19137,0.10213,1.71054,1.26876,0.9079,0.000466599,0.000466599,0.000466599
9,61042,1.83438,1.39605,0.9183,0.31306,0.23072,0.18737,0.10135,1.70804,1.27467,0.90935,0.000431256,0.000431256,0.000431256
10,61321,1.83335,1.38297,0.91474,0.31604,0.23445,0.19581,0.10606,1.69537,1.26155,0.90681,0.000395913,0.000395913,0.000395913
11,61598.1,1.90251,1.40295,0.8932,0.30943,0.22304,0.1836,0.09792,1.7206,1.28983,0.90904,0.00036057,0.00036057,0.00036057
12,61875.4,1.88625,1.3782,0.8906,0.28847,0.22564,0.18032,0.09636,1.73226,1.28045,0.90962,0.000325227,0.000325227,0.000325227
13,62155.6,1.88138,1.36623,0.8872,0.30647,0.22936,0.18372,0.09874,1.70764,1.26582,0.90673,0.000289884,0.000289884,0.000289884
14,62437.9,1.86891,1.34651,0.88621,0.30458,0.22782,0.18703,0.10043,1.71043,1.26951,0.90757,0.000254541,0.000254541,0.000254541
15,62716.1,1.85664,1.33228,0.88616,0.31196,0.22993,0.19053,0.10232,1.70859,1.26458,0.90703,0.000219198,0.000219198,0.000219198
16,62993.7,1.84596,1.31945,0.88267,0.3161,0.23852,0.19363,0.10499,1.68979,1.25258,0.90412,0.000183855,0.000183855,0.000183855
17,63269.6,1.83308,1.31087,0.88194,0.30559,0.23094,0.1908,0.10252,1.69927,1.26253,0.90524,0.000148512,0.000148512,0.000148512
18,63544.7,1.83135,1.30028,0.88017,0.31191,0.23442,0.19228,0.10444,1.69156,1.24965,0.90366,0.000113169,0.000113169,0.000113169
19,63819.8,1.8216,1.29138,0.87869,0.31173,0.23802,0.19231,0.10419,1.68838,1.25054,0.90264,7.7826e-05,7.7826e-05,7.7826e-05
20,64095.1,1.8263,1.2857,0.87705,0.30779,0.23741,0.1922,0.10373,1.69034,1.24638,0.9032,4.2483e-05,4.2483e-05,4.2483e-05
