epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.005,2.01291,2.0319,1.02093,0.22138,0.17005,0.12334,0.06641,1.7815,1.47504,0.95219,0.000237963,0.000237963,0.000237963
2,850.837,2.0411,1.80109,0.99776,0.24497,0.18256,0.12995,0.06962,1.79756,1.4691,0.94534,0.000452403,0.000452403,0.000452403
3,1225.62,2.03456,1.77543,0.99234,0.23524,0.19046,0.13551,0.0724,1.77297,1.43174,0.94144,0.000643281,0.000643281,0.000643281
4,1786.18,2.01701,1.74903,0.98681,0.26259,0.17633,0.13647,0.07364,1.78042,1.43431,0.9369,0.000607971,0.000607971,0.000607971
5,1962.48,2.02264,1.74107,0.982,0.25588,0.19176,0.13978,0.07522,1.78324,1.43063,0.93475,0.000572628,0.000572628,0.000572628
6,2136.29,2.01483,1.72868,0.98164,0.26742,0.18764,0.14032,0.07598,1.77315,1.41684,0.9317,0.000537285,0.000537285,0.000537285
7,2312.02,2.01043,1.70466,0.97949,0.25643,0.19655,0.14403,0.0769,1.76343,1.40058,0.932,0.000501942,0.000501942,0.000501942
8,2489.85,2.0059,1.70486,0.97698,0.25677,0.20226,0.14866,0.08027,1.76491,1.39013,0.93092,0.000466599,0.000466599,0.000466599
9,2665.21,2.00468,1.70181,0.97415,0.26398,0.19725,0.14635,0.07959,1.7534,1.39262,0.92932,0.000431256,0.000431256,0.000431256
10,2841.72,1.99496,1.69044,0.97006,0.26844,0.19455,0.14753,0.07945,1.75854,1.39372,0.92924,0.000395913,0.000395913,0.000395913
11,3018.19,2.08182,1.73525,0.94736,0.26866,0.19411,0.14744,0.07917,1.77766,1.41431,0.93204,0.00036057,0.00036057,0.00036057
12,3191.56,2.08365,1.72454,0.94609,0.25272,0.20376,0.14792,0.07937,1.76263,1.39827,0.92988,0.000325227,0.000325227,0.000325227
13,3363.35,2.07681,1.70846,0.94367,0.27093,0.19262,0.14746,0.07967,1.75624,1.39845,0.92525,0.000289884,0.000289884,0.000289884
14,3536.25,2.07223,1.70068,0.94178,0.27289,0.19595,0.14982,0.08098,1.76245,1.40785,0.9285,0.000254541,0.000254541,0.000254541
15,3707.5,2.06023,1.6899,0.94158,0.26454,0.1995,0.14997,0.08015,1.75695,1.40234,0.92608,0.000219198,0.000219198,0.000219198
16,3879.25,2.0743,1.69357,0.93888,0.27296,0.19682,0.15086,0.08138,1.75326,1.4111,0.92343,0.000183855,0.000183855,0.000183855
17,4050.53,2.06152,1.67854,0.9396,0.27838,0.20057,0.15108,0.08054,1.7531,1.39681,0.92619,0.000148512,0.000148512,0.000148512
18,4221.2,2.06756,1.68045,0.93874,0.27983,0.19731,0.15154,0.08198,1.74838,1.39304,0.92373,0.000113169,0.000113169,0.000113169
19,4397.98,2.05433,1.66945,0.93584,0.27946,0.19815,0.1526,0.08222,1.74526,1.38686,0.92343,7.7826e-05,7.7826e-05,7.7826e-05
20,4573.25,2.0466,1.66491,0.93748,0.28281,0.19682,0.15318,0.0833,1.74596,1.39599,0.92322,4.2483e-05,4.2483e-05,4.2483e-05
