epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.406,1.94423,1.91104,1.01027,0.23235,0.17479,0.12399,0.06782,1.76375,1.44353,0.94813,0.000237926,0.000237926,0.000237926
2,289.942,1.95719,1.68504,0.99352,0.25505,0.17012,0.12877,0.07012,1.76178,1.4287,0.93954,0.000452368,0.000452368,0.000452368
3,431.397,1.95275,1.65489,0.98528,0.25796,0.19585,0.14122,0.07472,1.75135,1.39326,0.93876,0.000643248,0.000643248,0.000643248
4,571.624,1.93977,1.636,0.98093,0.25,0.19008,0.13972,0.07615,1.75282,1.39337,0.93482,0.000607971,0.000607971,0.000607971
5,712.264,1.94572,1.62854,0.97347,0.25625,0.19471,0.14511,0.07742,1.73994,1.38131,0.93044,0.000572628,0.000572628,0.000572628
6,852.496,1.93689,1.62381,0.97171,0.25921,0.19801,0.14607,0.07984,1.72938,1.37033,0.92874,0.000537285,0.000537285,0.000537285
7,992.655,1.932,1.60718,0.9713,0.26134,0.19817,0.14869,0.08068,1.72766,1.36806,0.92982,0.000501942,0.000501942,0.000501942
8,1132.9,1.94795,1.61204,0.97005,0.26153,0.20428,0.14985,0.08114,1.72092,1.35609,0.92877,0.000466599,0.000466599,0.000466599
9,1273.15,1.93322,1.59954,0.96847,0.25569,0.20279,0.15049,0.08109,1.72651,1.35739,0.92464,0.000431256,0.000431256,0.000431256
10,1414.49,1.93786,1.58875,0.96463,0.2658,0.20782,0.15376,0.08282,1.72307,1.34654,0.92534,0.000395913,0.000395913,0.000395913
11,1551.38,1.91316,1.57542,0.95324,0.27437,0.20208,0.15425,0.08321,1.72555,1.34267,0.92493,0.00036057,0.00036057,0.00036057
12,1688.15,1.91756,1.57395,0.95149,0.27066,0.20928,0.15849,0.08533,1.7258,1.34854,0.92404,0.000325227,0.000325227,0.000325227
13,1824.92,1.91277,1.56527,0.95069,0.27528,0.20849,0.15683,0.08462,1.72407,1.3394,0.9214,0.000289884,0.000289884,0.000289884
14,1961.7,1.90481,1.5582,0.9488,0.27237,0.20683,0.15792,0.08571,1.72414,1.3414,0.92036,0.000254541,0.000254541,0.000254541
15,2098.43,1.88573,1.53843,0.94931,0.2733,0.21052,0.15931,0.08597,1.71931,1.33159,0.92186,0.000219198,0.000219198,0.000219198
16,2235.56,1.89307,1.54444,0.94596,0.27416,0.20713,0.15836,0.08634,1.70917,1.3274,0.91823,0.000183855,0.000183855,0.000183855
17,2372.12,1.88825,1.53317,0.94468,0.2904,0.20982,0.16068,0.08726,1.71102,1.32058,0.91963,0.000148512,0.000148512,0.000148512
18,2511.69,1.89628,1.53567,0.94422,0.2792,0.21321,0.16221,0.08778,1.7119,1.32731,0.9198,0.000113169,0.000113169,0.000113169
19,2650.98,1.88866,1.52801,0.94411,0.28082,0.21251,0.16138,0.0874,1.70117,1.31745,0.91694,7.7826e-05,7.7826e-05,7.7826e-05
20,2787.78,1.87365,1.52109,0.94567,0.27929,0.2101,0.16188,0.08817,1.70159,1.31593,0.91782,4.2483e-05,4.2483e-05,4.2483e-05
