epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.731,1.97758,1.65465,0.96855,0.2739,0.18977,0.14884,0.07905,1.76866,1.40164,0.92945,0.000237963,0.000237963,0.000237963
2,368.723,2.00876,1.67532,0.96486,0.2635,0.19431,0.14961,0.08083,1.75403,1.3853,0.92794,0.000452403,0.000452403,0.000452403
3,545.814,1.9998,1.6808,0.96683,0.25834,0.20228,0.15002,0.08012,1.75131,1.39648,0.92786,0.000643281,0.000643281,0.000643281
4,723.526,1.98873,1.66994,0.96806,0.2685,0.19195,0.14791,0.07968,1.76011,1.39109,0.92697,0.000607971,0.000607971,0.000607971
5,899.725,1.99627,1.67497,0.96502,0.27807,0.19941,0.15233,0.0816,1.75993,1.39946,0.92831,0.000572628,0.000572628,0.000572628
6,1078.15,1.9863,1.66696,0.96696,0.28504,0.19653,0.15299,0.0832,1.75913,1.38769,0.92549,0.000537285,0.000537285,0.000537285
7,1253.23,1.98728,1.65221,0.96717,0.26117,0.20316,0.15239,0.08186,1.754,1.37602,0.92805,0.000501942,0.000501942,0.000501942
8,1428.61,1.98635,1.65522,0.96584,0.26725,0.20675,0.15441,0.08293,1.75772,1.37238,0.92749,0.000466599,0.000466599,0.000466599
9,1605.08,1.98648,1.65883,0.96442,0.27988,0.20461,0.15403,0.08491,1.74073,1.37569,0.92476,0.000431256,0.000431256,0.000431256
10,1784.54,1.97741,1.65034,0.96053,0.27311,0.20138,0.15386,0.08311,1.74618,1.37249,0.92484,0.000395913,0.000395913,0.000395913
11,1956.31,2.05665,1.68034,0.93955,0.27574,0.20061,0.15376,0.08188,1.76991,1.40346,0.92956,0.00036057,0.00036057,0.00036057
12,2128.46,2.05974,1.67424,0.93832,0.26633,0.20724,0.15477,0.08363,1.75751,1.38646,0.92696,0.000325227,0.000325227,0.000325227
13,2306.28,2.05791,1.66405,0.93678,0.2829,0.19756,0.15145,0.08235,1.75314,1.38985,0.92357,0.000289884,0.000289884,0.000289884
14,2480.45,2.05392,1.65724,0.93506,0.27818,0.19904,0.15562,0.0845,1.75509,1.39485,0.92649,0.000254541,0.000254541,0.000254541
15,2651.93,2.04303,1.64873,0.93533,0.28158,0.20385,0.15435,0.08346,1.7496,1.39316,0.92512,0.000219198,0.000219198,0.000219198
16,2823.91,2.05784,1.65565,0.93364,0.2825,0.20119,0.15563,0.08441,1.74683,1.3967,0.92134,0.000183855,0.000183855,0.000183855
17,2994.07,2.0491,1.64222,0.93447,0.29679,0.19959,0.15615,0.08383,1.74688,1.39407,0.92446,0.000148512,0.000148512,0.000148512
18,3164.15,2.05489,1.64538,0.93342,0.28555,0.20012,0.15568,0.08425,1.74294,1.38688,0.92201,0.000113169,0.000113169,0.000113169
19,3333.85,2.04353,1.63579,0.93127,0.28322,0.20273,0.15595,0.08489,1.74033,1.38309,0.92167,7.7826e-05,7.7826e-05,7.7826e-05
20,3503.22,2.03573,1.63368,0.93277,0.28831,0.19833,0.15706,0.08585,1.73905,1.39007,0.92077,4.2483e-05,4.2483e-05,4.2483e-05
