epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.191,1.76029,1.36112,0.92111,0.3191,0.24046,0.19243,0.10401,1.63824,1.23448,0.90802,0.000237963,0.000237963,0.000237963
2,827.482,1.82013,1.43031,0.92432,0.3298,0.23797,0.18996,0.10283,1.65251,1.24508,0.90962,0.000452403,0.000452403,0.000452403
3,1231.08,1.8215,1.4439,0.92874,0.32028,0.23995,0.19442,0.10581,1.65627,1.23998,0.91723,0.000643281,0.000643281,0.000643281
4,1645.78,1.81193,1.42245,0.92984,0.33944,0.23249,0.19454,0.10845,1.64055,1.26077,0.90849,0.000607971,0.000607971,0.000607971
5,2050.59,1.79474,1.395,0.92035,0.34153,0.23894,0.20278,0.11137,1.63014,1.20601,0.90392,0.000572628,0.000572628,0.000572628
6,2456.07,1.77257,1.36538,0.91875,0.35341,0.24867,0.21445,0.11944,1.58974,1.19388,0.89564,0.000537285,0.000537285,0.000537285
7,2866.19,1.75532,1.33468,0.91347,0.35489,0.25945,0.2168,0.11967,1.60597,1.18206,0.89723,0.000501942,0.000501942,0.000501942
8,3271.49,1.74456,1.32217,0.91138,0.36366,0.2673,0.22802,0.12605,1.57671,1.14896,0.89279,0.000466599,0.000466599,0.000466599
9,3674.73,1.72813,1.298,0.90631,0.3681,0.26485,0.22888,0.12836,1.56035,1.14344,0.89062,0.000431256,0.000431256,0.000431256
10,4081.45,1.71314,1.28019,0.90281,0.36781,0.27277,0.2311,0.12854,1.55763,1.15278,0.88869,0.000395913,0.000395913,0.000395913
11,4482.29,1.78748,1.31376,0.88227,0.35134,0.2638,0.22103,0.12286,1.58024,1.18131,0.891,0.00036057,0.00036057,0.00036057
12,4886.37,1.7743,1.28362,0.87913,0.35511,0.26694,0.22957,0.12664,1.5861,1.16556,0.89263,0.000325227,0.000325227,0.000325227
13,5290.67,1.76254,1.25244,0.87651,0.36854,0.2593,0.22231,0.12368,1.57619,1.16275,0.88955,0.000289884,0.000289884,0.000289884
14,5694.19,1.7458,1.22716,0.87348,0.36534,0.2606,0.22655,0.1254,1.58169,1.15615,0.89142,0.000254541,0.000254541,0.000254541
15,6097.16,1.72584,1.20764,0.87072,0.37799,0.26712,0.23988,0.13357,1.5477,1.13336,0.8874,0.000219198,0.000219198,0.000219198
16,6508.17,1.72041,1.19308,0.86697,0.3676,0.26682,0.23472,0.13048,1.55457,1.12786,0.88489,0.000183855,0.000183855,0.000183855
17,6907.95,1.7045,1.16753,0.86553,0.36774,0.27163,0.2414,0.13458,1.54193,1.11779,0.8841,0.000148512,0.000148512,0.000148512
18,7307.54,1.69469,1.15681,0.86365,0.36814,0.27394,0.24268,0.13546,1.535,1.10748,0.88313,0.000113169,0.000113169,0.000113169
19,7707.9,1.67576,1.13597,0.85958,0.37682,0.27927,0.24527,0.13793,1.53303,1.11478,0.88206,7.7826e-05,7.7826e-05,7.7826e-05
20,8108.13,1.66017,1.11999,0.85926,0.38945,0.2757,0.24729,0.13946,1.52192,1.10904,0.88011,4.2483e-05,4.2483e-05,4.2483e-05
