epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.032,1.65302,1.19351,0.89198,0.38362,0.26758,0.23807,0.13245,1.56523,1.14855,0.88784,0.000237963,0.000237963,0.000237963
2,819.843,1.69917,1.24121,0.89297,0.36692,0.27628,0.23316,0.12753,1.57116,1.15105,0.88791,0.000452403,0.000452403,0.000452403
3,1234.64,1.71339,1.26368,0.89919,0.36268,0.27185,0.23366,0.12809,1.58627,1.16806,0.89341,0.000643281,0.000643281,0.000643281
4,1646.19,1.70661,1.25786,0.90109,0.37079,0.26868,0.23403,0.13144,1.56079,1.17023,0.89086,0.000607971,0.000607971,0.000607971
5,2059.38,1.69556,1.2433,0.89579,0.38397,0.27197,0.23909,0.13284,1.56093,1.13671,0.88718,0.000572628,0.000572628,0.000572628
6,2472.83,1.68764,1.23677,0.89633,0.38254,0.27952,0.24918,0.13854,1.54947,1.11952,0.88577,0.000537285,0.000537285,0.000537285
7,2877.98,1.67743,1.21256,0.8933,0.39484,0.28256,0.25134,0.14005,1.54147,1.11353,0.88469,0.000501942,0.000501942,0.000501942
8,3277.23,1.6714,1.21098,0.8918,0.392,0.2865,0.25207,0.14179,1.5394,1.10998,0.88416,0.000466599,0.000466599,0.000466599
9,3680.48,1.65905,1.19561,0.888,0.39206,0.28768,0.25631,0.14363,1.52407,1.0994,0.88157,0.000431256,0.000431256,0.000431256
10,4080.45,1.64666,1.17891,0.88588,0.40099,0.28582,0.25498,0.14097,1.52468,1.1077,0.88005,0.000395913,0.000395913,0.000395913
11,4482.6,1.71466,1.19598,0.86592,0.40455,0.27565,0.24867,0.13844,1.54348,1.13415,0.88487,0.00036057,0.00036057,0.00036057
12,4883.44,1.70336,1.1777,0.86348,0.39773,0.28081,0.25154,0.14051,1.53391,1.11718,0.8815,0.000325227,0.000325227,0.000325227
13,5284.46,1.69234,1.15724,0.8618,0.38707,0.2759,0.24208,0.13475,1.5338,1.12089,0.88144,0.000289884,0.000289884,0.000289884
14,5684.32,1.6782,1.13591,0.85833,0.38,0.28745,0.25229,0.14097,1.52911,1.11115,0.87924,0.000254541,0.000254541,0.000254541
15,6081.96,1.66547,1.12089,0.85715,0.4006,0.28152,0.25274,0.14131,1.5193,1.09872,0.87978,0.000219198,0.000219198,0.000219198
16,6480.28,1.66127,1.11397,0.85402,0.39118,0.28046,0.25161,0.14053,1.52707,1.09775,0.87794,0.000183855,0.000183855,0.000183855
17,6878.69,1.64815,1.09597,0.8535,0.39417,0.29511,0.26147,0.14657,1.51397,1.08831,0.87798,0.000148512,0.000148512,0.000148512
18,7281.38,1.6427,1.08953,0.85226,0.39056,0.28654,0.25884,0.14665,1.50573,1.08542,0.87538,0.000113169,0.000113169,0.000113169
19,7681.35,1.63093,1.07465,0.84968,0.39738,0.28369,0.25836,0.14523,1.50415,1.08663,0.87532,7.7826e-05,7.7826e-05,7.7826e-05
20,8080.21,1.61921,1.06304,0.85054,0.40172,0.28709,0.26074,0.14672,1.4973,1.08172,0.87439,4.2483e-05,4.2483e-05,4.2483e-05
