frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
1,1,27,motor,0.599,1029,490,1069,558,1049,524
2,1,27,motor,0.589,1029,490,1069,559,1049,524
3,1,27,motor,0.489,1029,493,1070,562,1049,527
4,1,27,motor,0.539,1029,491,1071,562,1050,526
5,1,27,motor,0.52,1030,494,1071,564,1050,529
6,1,27,motor,0.419,1030,492,1072,564,1051,528
7,1,27,motor,0.445,1031,496,1072,565,1051,530
8,1,27,motor,0.517,1031,497,1072,567,1051,532
9,1,27,motor,0.534,1031,499,1072,568,1051,533
10,1,27,motor,0.51,1031,500,1072,570,1051,535
11,1,27,motor,0.529,1032,501,1073,571,1052,536
12,1,27,motor,0.442,1032,503,1074,574,1053,538
13,1,27,motor,0.54,1034,509,1073,577,1053,543
14,1,27,motor,0.533,1034,511,1073,578,1053,544
15,1,27,motor,0.623,1034,511,1073,579,1053,545
16,1,27,motor,0.601,1034,513,1074,580,1054,546
17,1,27,motor,0.564,1034,514,1074,582,1054,548
18,1,27,motor,0.561,1034,516,1075,584,1054,550
19,1,27,motor,0.58,1034,517,1075,586,1054,551
20,1,27,motor,0.538,1034,517,1076,588,1055,552
21,1,27,motor,0.514,1034,517,1077,590,1055,553
22,1,27,motor,0.579,1034,516,1078,591,1056,553
23,1,27,motor,0.586,1034,518,1078,593,1056,555
24,1,27,motor,0.579,1035,518,1079,594,1057,556
25,1,27,motor,0.583,1035,519,1079,595,1057,557
26,1,27,motor,0.585,1036,519,1080,596,1058,557
27,1,27,motor,0.484,1037,522,1081,599,1059,560
28,1,27,motor,0.585,1038,526,1080,599,1059,562
29,1,27,motor,0.613,1038,527,1081,600,1059,563
30,1,27,motor,0.634,1039,530,1082,602,1060,566
31,1,27,motor,0.637,1040,531,1083,604,1061,567
32,1,27,motor,0.535,1040,532,1084,608,1062,570
33,1,27,motor,0.553,1040,532,1086,611,1063,571
34,1,27,motor,0.483,1041,535,1087,614,1064,574
35,1,27,motor,0.479,1042,537,1087,615,1064,576
36,1,27,motor,0.487,1044,539,1088,615,1066,577
37,1,27,motor,0.491,1044,538,1089,616,1066,577
38,1,27,motor,0.449,1045,539,1090,617,1067,578
39,1,27,motor,0.552,1046,543,1090,619,1068,581
40,1,27,motor,0.628,1048,548,1090,621,1069,584
41,1,27,motor,0.639,1048,549,1091,622,1069,585
42,1,27,motor,0.504,1047,543,1095,625,1071,584
43,1,27,motor,0.61,1047,541,1097,627,1072,584
44,1,27,motor,0.569,1049,546,1097,629,1073,587
45,1,27,motor,0.553,1051,550,1097,631,1074,590
46,1,27,motor,0.608,1052,553,1097,632,1074,592
47,1,27,motor,0.559,1053,556,1097,634,1075,595
48,1,27,motor,0.596,1053,556,1099,636,1076,596
49,1,27,motor,0.56,1053,559,1098,638,1075,598
50,1,27,motor,0.595,1054,562,1099,641,1076,601
51,1,27,motor,0.613,1055,565,1099,642,1077,603
52,1,27,motor,0.529,1057,566,1102,644,1079,605
53,1,27,motor,0.621,1058,567,1103,646,1080,606
54,1,27,motor,0.645,1058,568,1105,648,1081,608
55,1,27,motor,0.595,1059,568,1107,651,1083,609
56,1,27,motor,0.553,1060,569,1108,654,1084,611
57,1,27,motor,0.533,1061,572,1110,657,1085,614
58,1,27,motor,0.526,1062,575,1111,660,1086,617
59,1,27,motor,0.588,1063,577,1112,661,1087,619
60,1,27,motor,0.598,1065,582,1112,663,1088,622
61,1,27,motor,0.548,1065,580,1114,664,1089,622
62,1,27,motor,0.51,1067,584,1116,667,1091,625
63,1,27,motor,0.641,1068,584,1118,670,1093,627
64,1,27,motor,0.653,1068,586,1119,673,1093,629
65,1,27,motor,0.629,1069,588,1120,675,1094,631
66,1,27,motor,0.659,1069,590,1120,678,1094,634
67,1,27,motor,0.662,1070,593,1121,681,1095,637
68,1,27,motor,0.622,1071,596,1122,684,1096,640
69,1,27,motor,0.628,1070,594,1123,685,1096,639
70,1,27,motor,0.63,1071,594,1125,689,1098,641
71,1,27,motor,0.629,1071,597,1125,691,1098,644
