frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
1,1,15,motor,0.658,1031,490,1069,558,1050,524
2,1,15,motor,0.672,1032,492,1069,560,1050,526
3,1,15,motor,0.623,1031,493,1069,563,1050,528
4,1,15,motor,0.627,1031,493,1070,565,1050,529
5,1,15,motor,0.591,1031,496,1070,568,1050,532
6,1,15,motor,0.578,1030,497,1070,570,1050,533
7,1,15,motor,0.605,1031,497,1071,571,1051,534
8,1,15,motor,0.633,1031,498,1070,571,1050,534
9,1,15,motor,0.588,1031,499,1071,574,1051,536
10,1,15,motor,0.616,1032,502,1071,575,1051,538
11,1,15,motor,0.633,1033,504,1070,573,1051,538
12,1,15,motor,0.581,1032,504,1071,576,1051,540
13,1,15,motor,0.572,1032,506,1071,578,1051,542
14,1,15,motor,0.576,1031,505,1072,580,1051,542
15,1,15,motor,0.59,1031,504,1073,581,1052,542
16,1,15,motor,0.559,1031,504,1073,582,1052,543
17,1,15,motor,0.608,1031,504,1074,583,1052,543
18,1,15,motor,0.579,1032,505,1074,584,1053,544
19,1,15,motor,0.591,1031,505,1075,586,1053,545
20,1,15,motor,0.594,1032,506,1075,586,1053,546
21,1,15,motor,0.59,1033,506,1076,588,1054,547
22,1,15,motor,0.589,1034,508,1077,589,1055,548
23,1,15,motor,0.594,1034,510,1077,591,1055,550
24,1,15,motor,0.609,1034,510,1078,592,1056,551
25,1,15,motor,0.608,1035,511,1078,594,1056,552
26,1,15,motor,0.554,1037,514,1079,595,1058,554
27,1,15,motor,0.524,1038,520,1079,596,1058,558
28,1,15,motor,0.513,1039,520,1080,597,1059,558
29,1,15,motor,0.527,1039,523,1080,599,1059,561
30,1,15,motor,0.524,1040,525,1082,603,1061,564
31,1,15,motor,0.493,1040,525,1082,605,1061,565
32,1,15,motor,0.441,1040,529,1084,610,1062,569
33,1,15,motor,0.475,1041,531,1085,614,1063,572
34,1,15,motor,0.429,1042,534,1085,615,1063,574
35,1,15,motor,0.312,1043,535,1086,616,1064,575
36,0,15,motor,,,,,,,
37,1,15,motor,0.359,1045,541,1085,616,1065,578
38,1,15,motor,0.419,1046,544,1085,617,1065,580
39,1,15,motor,0.555,1047,546,1086,618,1066,582
40,1,15,motor,0.592,1048,547,1087,619,1067,583
41,1,15,motor,0.617,1049,548,1089,621,1069,584
42,1,15,motor,0.592,1050,550,1090,623,1070,586
43,1,15,motor,0.626,1050,549,1092,626,1071,587
44,1,15,motor,0.618,1051,549,1094,627,1072,588
45,1,15,motor,0.644,1052,550,1095,630,1073,590
46,1,15,motor,0.675,1053,551,1097,631,1075,591
47,1,15,motor,0.603,1053,551,1098,634,1075,592
48,1,15,motor,0.663,1054,553,1099,635,1076,594
49,1,15,motor,0.645,1055,555,1100,638,1077,596
50,1,15,motor,0.67,1055,556,1100,639,1077,597
51,1,15,motor,0.588,1055,557,1101,641,1078,599
52,1,15,motor,0.577,1056,557,1103,643,1079,600
53,1,15,motor,0.497,1057,561,1103,645,1080,603
54,1,15,motor,0.448,1059,563,1105,648,1082,605
55,1,15,motor,0.394,1060,570,1105,652,1082,611
56,1,15,motor,0.502,1061,573,1106,656,1083,614
57,1,15,motor,0.483,1063,576,1108,659,1085,617
58,1,15,motor,0.559,1063,576,1109,660,1086,618
59,1,15,motor,0.593,1064,577,1110,662,1087,619
60,1,15,motor,0.647,1064,577,1112,663,1088,620
61,1,15,motor,0.624,1065,579,1113,665,1089,622
62,1,15,motor,0.628,1067,580,1115,667,1091,623
63,1,15,motor,0.693,1068,582,1117,670,1092,626
64,1,15,motor,0.666,1068,582,1118,673,1093,627
65,1,15,motor,0.689,1068,582,1119,675,1093,628
66,1,15,motor,0.646,1068,585,1120,678,1094,631
67,1,15,motor,0.652,1069,589,1120,681,1094,635
68,1,15,motor,0.641,1071,592,1121,683,1096,637
69,1,15,motor,0.643,1072,595,1122,685,1097,640
