frame,found,candidate_id,class,x1,y1,x2,y2,center_x,center_y
1,1,20,awning-tricycle,1089,519,1169,631,1129,575
2,1,20,awning-tricycle,1092,522,1169,630,1130,576
3,1,20,awning-tricycle,1091,521,1173,635,1132,578
4,1,20,awning-tricycle,1092,522,1174,636,1133,579
5,1,20,awning-tricycle,1094,523,1176,637,1135,580
6,1,20,awning-tricycle,1095,524,1177,638,1136,581
7,1,20,awning-tricycle,1096,526,1178,640,1137,583
8,1,20,awning-tricycle,1098,527,1180,641,1139,584
9,1,20,awning-tricycle,1098,527,1180,641,1139,584
10,1,20,awning-tricycle,1100,528,1182,642,1141,585
11,1,20,awning-tricycle,1101,530,1183,644,1142,587
12,1,20,awning-tricycle,1102,530,1185,647,1143,588
13,1,20,awning-tricycle,1103,532,1185,646,1144,589
14,1,20,awning-tricycle,1104,532,1187,649,1145,590
15,1,20,awning-tricycle,1105,534,1188,651,1146,592
16,1,20,awning-tricycle,1106,535,1189,652,1147,593
17,1,20,awning-tricycle,1107,535,1192,654,1149,594
18,1,20,awning-tricycle,1108,536,1193,655,1150,595
19,1,20,awning-tricycle,1110,537,1195,656,1152,596
20,1,20,awning-tricycle,1111,539,1196,658,1153,598
21,1,20,awning-tricycle,1113,541,1196,658,1154,599
22,1,20,awning-tricycle,1114,543,1197,660,1155,601
23,1,20,awning-tricycle,1116,542,1201,661,1158,601
24,1,20,awning-tricycle,1116,543,1203,664,1159,603
25,1,20,awning-tricycle,1118,545,1203,664,1160,604
26,1,20,awning-tricycle,1119,546,1206,667,1162,606
27,1,20,awning-tricycle,1120,547,1207,668,1163,607
28,1,20,awning-tricycle,1122,548,1209,669,1165,608
29,1,20,awning-tricycle,1123,549,1210,670,1166,609
30,1,20,awning-tricycle,1124,549,1212,673,1168,611
31,1,20,awning-tricycle,1126,551,1213,672,1169,611
32,1,20,awning-tricycle,1128,553,1215,674,1171,613
33,1,20,awning-tricycle,1129,553,1217,677,1173,615
34,1,20,awning-tricycle,1130,554,1218,678,1174,616
35,1,20,awning-tricycle,1133,557,1220,678,1176,617
36,1,20,awning-tricycle,1134,558,1222,682,1178,620
37,1,20,awning-tricycle,1136,559,1224,683,1180,621
38,1,20,awning-tricycle,1136,559,1226,685,1181,622
39,1,20,awning-tricycle,1138,561,1226,685,1182,623
40,1,20,awning-tricycle,1139,562,1229,688,1184,625
41,1,20,awning-tricycle,1142,564,1230,688,1186,626
42,1,20,awning-tricycle,1143,564,1233,690,1188,627
43,1,20,awning-tricycle,1144,566,1234,692,1189,629
44,1,20,awning-tricycle,1145,567,1235,693,1190,630
45,1,20,awning-tricycle,1147,568,1237,694,1192,631
46,1,20,awning-tricycle,1148,568,1240,697,1194,632
47,1,20,awning-tricycle,1150,571,1240,697,1195,634
48,1,20,awning-tricycle,1151,571,1243,700,1197,635
49,1,20,awning-tricycle,1152,573,1244,702,1198,637
50,1,20,awning-tricycle,1154,574,1246,703,1200,638
51,1,20,awning-tricycle,1155,576,1247,705,1201,640
52,1,20,awning-tricycle,1157,577,1249,706,1203,641
53,1,20,awning-tricycle,1159,579,1251,708,1205,643
54,1,20,awning-tricycle,1161,580,1253,709,1207,644
55,1,20,awning-tricycle,1163,582,1255,711,1209,646
56,1,20,awning-tricycle,1163,583,1257,714,1210,648
57,1,20,awning-tricycle,1165,584,1259,715,1212,649
58,1,20,awning-tricycle,1167,586,1261,717,1214,651
59,1,20,awning-tricycle,1168,587,1264,721,1216,654
60,1,20,awning-tricycle,1169,588,1265,722,1217,655
61,1,20,awning-tricycle,1171,590,1267,724,1219,657
62,1,20,awning-tricycle,1173,591,1269,725,1221,658
63,1,20,awning-tricycle,1175,593,1271,727,1223,660
64,1,20,awning-tricycle,1175,594,1273,731,1224,662
65,1,20,awning-tricycle,1176,595,1274,732,1225,663
66,1,20,awning-tricycle,1179,597,1275,731,1227,664
67,1,20,awning-tricycle,1180,598,1278,735,1229,666
68,1,20,awning-tricycle,1182,600,1280,737,1231,668
69,1,20,awning-tricycle,1183,602,1281,739,1232,670
70,1,20,awning-tricycle,1183,602,1282,741,1232,671
71,1,20,awning-tricycle,1186,605,1284,742,1235,673
72,1,20,awning-tricycle,1186,606,1285,745,1235,675
73,1,20,awning-tricycle,1188,608,1287,747,1237,677
74,1,20,awning-tricycle,1190,610,1289,749,1239,679
75,1,20,awning-tricycle,1191,612,1290,751,1240,681
76,1,20,awning-tricycle,1193,614,1292,753,1242,683
77,1,20,awning-tricycle,1195,615,1294,754,1244,684
78,1,20,awning-tricycle,1197,617,1296,756,1246,686
79,1,20,awning-tricycle,1198,618,1299,760,1248,689
80,1,20,awning-tricycle,1198,619,1301,764,1249,691
81,1,20,awning-tricycle,1200,620,1303,765,1251,692
82,1,20,awning-tricycle,1202,622,1305,767,1253,694
83,1,20,awning-tricycle,1204,624,1307,769,1255,696
84,1,20,awning-tricycle,1206,626,1309,771,1257,698
85,1,20,awning-tricycle,1208,628,1311,773,1259,700
86,1,20,awning-tricycle,1209,630,1312,775,1260,702
87,1,20,awning-tricycle,1211,633,1314,778,1262,705
88,1,20,awning-tricycle,1212,635,1315,780,1263,707
89,1,20,awning-tricycle,1213,635,1319,783,1266,709
90,1,20,awning-tricycle,1215,637,1321,785,1268,711
91,1,20,awning-tricycle,1216,638,1324,789,1270,713
92,1,20,awning-tricycle,1217,640,1325,791,1271,715
93,1,20,awning-tricycle,1218,642,1326,793,1272,717
94,1,20,awning-tricycle,1220,644,1328,795,1274,719
95,1,20,awning-tricycle,1222,647,1330,798,1276,722
96,1,20,awning-tricycle,1224,649,1332,800,1278,724
97,1,20,awning-tricycle,1224,651,1334,805,1279,728
98,1,20,awning-tricycle,1225,653,1335,807,1280,730
99,1,20,awning-tricycle,1227,655,1337,809,1282,732
100,1,20,awning-tricycle,1227,657,1339,814,1283,735
101,1,20,awning-tricycle,1228,659,1340,816,1284,737
102,1,20,awning-tricycle,1230,661,1342,818,1286,739
103,1,20,awning-tricycle,1232,665,1342,819,1287,742
104,1,20,awning-tricycle,1232,668,1344,825,1288,746
105,1,20,awning-tricycle,1232,668,1346,828,1289,748
106,1,20,awning-tricycle,1234,672,1346,829,1290,750
107,1,20,awning-tricycle,1235,673,1349,833,1292,753
108,1,20,awning-tricycle,1235,676,1349,836,1292,756
109,1,20,awning-tricycle,1237,679,1351,839,1294,759
110,1,20,awning-tricycle,1238,682,1352,842,1295,762
111,1,20,awning-tricycle,1238,683,1355,846,1296,764
112,1,20,awning-tricycle,1240,686,1357,849,1298,767
113,1,20,awning-tricycle,1241,688,1358,851,1299,769
114,1,20,awning-tricycle,1241,690,1360,856,1300,773
115,1,20,awning-tricycle,1243,694,1360,857,1301,775
116,1,20,awning-tricycle,1244,696,1363,862,1303,779
117,1,20,awning-tricycle,1244,699,1361,862,1302,780
118,1,20,awning-tricycle,1245,702,1364,868,1304,785
119,1,20,awning-tricycle,1246,703,1367,873,1306,788
120,1,20,awning-tricycle,1247,707,1368,877,1307,792
121,1,20,awning-tricycle,1248,710,1369,880,1308,795
122,1,20,awning-tricycle,1248,711,1372,884,1310,797
123,1,20,awning-tricycle,1249,715,1370,885,1309,800
124,1,20,awning-tricycle,1250,718,1374,891,1312,804
125,1,20,awning-tricycle,1251,720,1375,893,1313,806
126,1,20,awning-tricycle,1252,724,1376,897,1314,810
127,1,20,awning-tricycle,1253,727,1377,900,1315,813
128,1,20,awning-tricycle,1253,729,1379,906,1316,817
129,1,20,awning-tricycle,1254,732,1380,909,1317,820
130,1,20,awning-tricycle,1255,735,1381,912,1318,823
131,1,20,awning-tricycle,1256,739,1382,916,1319,827
132,1,20,awning-tricycle,1256,741,1385,921,1320,831
133,1,20,awning-tricycle,1258,746,1384,923,1321,834
134,1,20,awning-tricycle,1258,748,1387,928,1322,838
135,1,20,awning-tricycle,1258,752,1387,932,1322,842
136,1,20,awning-tricycle,1259,754,1390,938,1324,846
137,1,20,awning-tricycle,1259,758,1390,942,1324,850
138,1,20,awning-tricycle,1261,761,1392,945,1326,853
139,1,20,awning-tricycle,1261,765,1392,949,1326,857
140,1,20,awning-tricycle,1261,767,1395,954,1328,860
141,1,20,awning-tricycle,1263,771,1397,958,1330,864
142,1,20,awning-tricycle,1263,775,1397,962,1330,868
143,1,20,awning-tricycle,1264,779,1398,966,1331,872
144,1,20,awning-tricycle,1263,781,1400,972,1331,876
145,1,20,awning-tricycle,1264,785,1401,976,1332,880
146,1,20,awning-tricycle,1264,788,1403,983,1333,885
147,1,20,awning-tricycle,1265,793,1402,984,1333,888
148,1,20,awning-tricycle,1264,797,1403,992,1333,894
149,1,20,awning-tricycle,1264,800,1403,995,1333,897
150,1,20,awning-tricycle,1265,804,1404,999,1334,901
151,1,20,awning-tricycle,1266,808,1405,1003,1335,905
152,1,20,awning-tricycle,1266,812,1408,1011,1337,911
153,1,20,awning-tricycle,1266,815,1408,1014,1337,914
154,1,20,awning-tricycle,1268,821,1407,1016,1337,918
155,1,20,awning-tricycle,1268,825,1410,1024,1339,924
156,1,20,awning-tricycle,1267,827,1412,1030,1339,928
157,1,20,awning-tricycle,1268,832,1413,1035,1340,933
158,1,20,awning-tricycle,1269,836,1414,1039,1341,937
159,1,20,awning-tricycle,1267,839,1415,1046,1341,942
160,1,20,awning-tricycle,1267,844,1415,1051,1341,947
161,1,20,awning-tricycle,1267,849,1415,1056,1341,952
162,1,20,awning-tricycle,1268,854,1416,1061,1342,957
163,1,20,awning-tricycle,1267,857,1418,1068,1342,962
164,1,20,awning-tricycle,1267,863,1418,1074,1342,968
165,1,20,awning-tricycle,1267,867,1418,1078,1342,972
166,1,20,awning-tricycle,1265,872,1419,1087,1342,979
167,1,20,awning-tricycle,1265,877,1419,1092,1342,984
168,1,20,awning-tricycle,1265,883,1419,1098,1342,990
169,1,20,awning-tricycle,1262,885,1422,1109,1342,997
170,1,20,awning-tricycle,1263,893,1417,1108,1340,1000
171,1,20,awning-tricycle,1260,898,1417,1118,1338,1008
172,1,20,awning-tricycle,1260,904,1417,1124,1338,1014
173,1,20,awning-tricycle,1257,908,1417,1132,1337,1020
174,1,20,awning-tricycle,1256,914,1416,1138,1336,1026
175,1,20,awning-tricycle,1254,918,1417,1146,1335,1032
176,1,20,awning-tricycle,1254,925,1414,1149,1334,1037
177,1,20,awning-tricycle,1249,930,1412,1158,1330,1044
178,1,20,awning-tricycle,1250,937,1413,1165,1331,1051
179,1,20,awning-tricycle,1246,941,1412,1174,1329,1057
180,1,20,awning-tricycle,1244,947,1410,1180,1327,1063
181,1,20,awning-tricycle,1241,952,1411,1190,1326,1071
182,1,20,awning-tricycle,1239,958,1409,1196,1324,1077
183,1,20,awning-tricycle,1235,963,1408,1205,1321,1084
184,1,20,awning-tricycle,1237,973,1403,1206,1320,1089
185,1,20,awning-tricycle,1230,978,1403,1220,1316,1099
186,1,20,awning-tricycle,1230,985,1400,1223,1315,1104
187,1,20,awning-tricycle,1224,989,1401,1236,1312,1112
