candidate_id,class,confidence,x1,y1,x2,y2
0,car,0.923,550,461,656,555
1,car,0.894,433,469,540,563
2,car,0.892,869,447,941,520
3,car,0.886,760,432,837,500
4,car,0.883,393,411,485,491
5,car,0.883,305,403,407,483
6,car,0.872,587,324,666,394
7,car,0.87,1007,412,1074,479
8,car,0.862,401,329,495,395
9,car,0.856,925,249,965,294
10,car,0.851,490,338,569,400
11,car,0.848,967,282,1016,330
12,car,0.845,1133,476,1205,552
13,car,0.845,834,299,890,350
14,car,0.844,926,154,959,180
15,car,0.842,1131,418,1198,480
16,car,0.84,144,495,270,573
17,car,0.84,686,327,757,394
18,car,0.833,1115,358,1177,417
19,car,0.833,479,284,547,332
20,car,0.833,891,203,926,236
21,pedestrian,0.83,1560,699,1635,842
22,car,0.829,261,519,382,593
23,car,0.829,1027,123,1053,144
24,car,0.828,767,235,814,276
25,car,0.828,1074,224,1122,265
26,car,0.819,651,277,711,328
27,car,0.811,544,237,599,285
28,pedestrian,0.81,124,594,212,743
29,car,0.805,727,204,770,239
30,car,0.797,700,233,754,276
31,bus,0.797,663,151,744,236
32,car,0.786,635,231,688,274
33,pedestrian,0.781,555,755,617,899
34,car,0.781,1053,204,1095,238
35,pedestrian,0.778,58,560,112,701
36,pedestrian,0.772,476,634,549,777
37,bus,0.77,590,150,682,233
38,car,0.767,589,217,644,254
39,pedestrian,0.756,435,670,500,817
40,car,0.75,810,182,848,216
41,pedestrian,0.749,1493,622,1576,744
42,car,0.732,694,289,754,334
43,car,0.718,785,208,834,246
44,car,0.717,938,115,966,136
45,bus,0.711,712,102,774,159
46,pedestrian,0.704,1363,636,1425,788
47,pedestrian,0.687,1418,513,1442,573
48,pedestrian,0.68,1387,391,1406,436
49,car,0.675,768,175,804,212
50,pedestrian,0.672,1446,249,1460,286
51,pedestrian,0.671,1448,426,1470,484
52,car,0.666,900,78,921,96
53,pedestrian,0.659,186,189,202,221
54,car,0.644,233,790,396,992
55,pedestrian,0.639,1505,358,1521,401
56,pedestrian,0.616,27,435,51,489
57,car,0.615,974,64,990,79
58,pedestrian,0.605,1453,226,1467,258
59,pedestrian,0.597,1475,430,1497,485
60,bicycle,0.583,118,352,148,385
61,pedestrian,0.58,1422,370,1441,422
62,car,0.577,741,158,775,191
63,pedestrian,0.571,1366,370,1386,417
64,pedestrian,0.569,1390,486,1414,550
65,pedestrian,0.563,1679,527,1716,619
66,pedestrian,0.561,1646,529,1680,606
67,pedestrian,0.559,1219,578,1243,634
68,car,0.556,1021,94,1042,117
69,pedestrian,0.548,1551,223,1564,252
70,pedestrian,0.547,96,438,119,495
71,pedestrian,0.54,1331,411,1350,461
72,pedestrian,0.54,188,395,210,449
73,car,0.539,946,64,964,78
74,pedestrian,0.538,1602,529,1631,604
75,people,0.532,121,332,146,379
76,car,0.527,788,156,820,185
77,pedestrian,0.526,57,481,79,535
78,car,0.524,846,113,871,134
79,pedestrian,0.524,1502,388,1520,430
80,pedestrian,0.52,169,273,185,309
81,pedestrian,0.519,1355,318,1369,359
82,pedestrian,0.518,1453,248,1470,284
83,car,0.513,825,128,852,149
84,pedestrian,0.507,144,266,163,308
85,pedestrian,0.506,1576,201,1591,234
86,van,0.499,564,259,639,330
87,pedestrian,0.493,1268,569,1290,631
88,pedestrian,0.492,1448,387,1469,431
89,pedestrian,0.491,263,203,277,235
90,car,0.483,1398,309,1481,369
91,pedestrian,0.483,77,526,131,649
92,car,0.483,809,146,839,167
93,pedestrian,0.479,1315,408,1333,460
94,pedestrian,0.478,426,240,442,276
95,bicycle,0.474,16,378,55,416
96,pedestrian,0.472,1562,553,1592,612
97,pedestrian,0.472,271,181,284,210
98,pedestrian,0.471,222,178,238,208
99,pedestrian,0.471,1207,438,1225,486
100,pedestrian,0.468,1477,389,1497,435
101,pedestrian,0.466,374,264,392,300
102,pedestrian,0.464,213,380,235,427
103,pedestrian,0.462,1526,381,1546,426
104,car,0.461,762,137,791,160
105,pedestrian,0.453,1611,528,1644,603
106,pedestrian,0.445,553,105,563,126
107,pedestrian,0.438,1535,541,1562,607
108,pedestrian,0.437,104,183,119,217
109,car,0.432,750,144,784,170
110,pedestrian,0.431,82,439,105,500
111,pedestrian,0.427,1232,542,1255,601
112,pedestrian,0.425,63,331,87,386
113,pedestrian,0.415,1511,427,1530,478
114,pedestrian,0.402,328,337,346,380
115,pedestrian,0.399,1287,576,1308,626
116,pedestrian,0.399,160,192,178,222
117,people,0.391,23,362,52,408
118,car,0.39,788,127,810,147
119,pedestrian,0.388,1519,410,1536,455
120,pedestrian,0.387,1509,193,1521,229
121,pedestrian,0.387,1361,385,1382,423
122,car,0.385,833,84,857,100
123,pedestrian,0.385,392,242,406,277
124,pedestrian,0.383,1455,422,1475,475
125,pedestrian,0.382,1,517,29,563
126,pedestrian,0.372,188,451,211,493
127,pedestrian,0.37,1516,556,1552,630
128,car,0.364,803,90,832,109
129,pedestrian,0.355,117,462,140,515
130,pedestrian,0.354,415,177,428,202
131,car,0.353,562,260,639,329
132,pedestrian,0.351,0,435,18,478
133,pedestrian,0.345,1497,409,1516,462
134,pedestrian,0.34,107,483,139,547
135,pedestrian,0.338,121,427,146,481
136,car,0.336,836,107,865,126
137,pedestrian,0.336,80,482,102,539
138,car,0.327,1023,65,1040,78
139,pedestrian,0.327,1394,507,1418,567
140,car,0.317,859,93,879,114
141,car,0.31,804,109,834,130
142,pedestrian,0.31,1606,204,1618,236
143,pedestrian,0.308,1392,331,1412,373
144,pedestrian,0.303,46,501,71,549
145,pedestrian,0.301,57,330,79,377
