epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.779,2.1086,1.60427,0.91507,0.23218,0.17334,0.12404,0.06367,1.9457,1.41599,0.89834,0.000237963,0.000237963,0.000237963
2,554.116,2.11942,1.61815,0.91783,0.24482,0.16823,0.12169,0.06173,1.97624,1.43741,0.90018,0.000460256,0.000460256,0.000460256
3,825.517,2.13461,1.63964,0.91935,0.24239,0.16966,0.12624,0.06495,1.9885,1.45909,0.90202,0.000666842,0.000666842,0.000666842
4,1095.17,2.13261,1.64141,0.9209,0.26991,0.1707,0.1266,0.0656,1.97543,1.45995,0.90083,0.000643314,0.000643314,0.000643314
5,1360.72,2.12567,1.62881,0.91834,0.23937,0.17271,0.12771,0.06443,1.96277,1.42026,0.90255,0.000619752,0.000619752,0.000619752
6,1627.45,2.12381,1.62102,0.91651,0.23756,0.17187,0.12475,0.06396,1.96708,1.44512,0.89933,0.00059619,0.00059619,0.00059619
7,1892.29,2.10149,1.60011,0.91197,0.24112,0.1791,0.13197,0.06787,1.94272,1.40578,0.89402,0.000572628,0.000572628,0.000572628
8,2156.95,2.11152,1.60081,0.91246,0.25435,0.18634,0.13632,0.06972,1.9401,1.40295,0.89241,0.000549066,0.000549066,0.000549066
9,2421.28,2.09059,1.58075,0.9105,0.25815,0.17529,0.13546,0.07058,1.92143,1.39529,0.89381,0.000525504,0.000525504,0.000525504
10,2688.82,2.08665,1.56814,0.90847,0.25723,0.1835,0.14022,0.07316,1.91307,1.38584,0.89108,0.000501942,0.000501942,0.000501942
11,2952.95,2.08578,1.56742,0.90972,0.25619,0.18259,0.14041,0.07389,1.90215,1.37986,0.8875,0.00047838,0.00047838,0.00047838
12,3216.41,2.08828,1.5594,0.90807,0.27569,0.17807,0.13978,0.07242,1.92917,1.39552,0.88957,0.000454818,0.000454818,0.000454818
13,3479.47,2.074,1.5509,0.90521,0.25468,0.18368,0.13739,0.07121,1.9059,1.37384,0.88804,0.000431256,0.000431256,0.000431256
14,3744.43,2.06571,1.53377,0.90317,0.26719,0.18804,0.14632,0.07685,1.88807,1.35987,0.88519,0.000407694,0.000407694,0.000407694
15,4009.13,2.06364,1.53814,0.90022,0.26759,0.19004,0.14809,0.07742,1.88142,1.35532,0.88648,0.000384132,0.000384132,0.000384132
16,4273.09,2.05461,1.52251,0.90333,0.26538,0.18953,0.14512,0.07545,1.8935,1.35943,0.88858,0.00036057,0.00036057,0.00036057
17,4535.47,2.04571,1.51262,0.89823,0.25811,0.18963,0.14388,0.07605,1.88294,1.34438,0.88457,0.000337008,0.000337008,0.000337008
18,4795.68,2.03519,1.4991,0.89841,0.25539,0.19301,0.14933,0.07888,1.88124,1.34594,0.8829,0.000313446,0.000313446,0.000313446
19,5053.89,2.03407,1.50127,0.89821,0.27051,0.19014,0.15107,0.07914,1.87326,1.33903,0.88108,0.000289884,0.000289884,0.000289884
20,5314.76,2.02752,1.48936,0.89668,0.27414,0.19487,0.15365,0.08057,1.87088,1.3336,0.88305,0.000266322,0.000266322,0.000266322
21,5574.84,2.10546,1.52171,0.87236,0.27942,0.19592,0.15276,0.07904,1.88194,1.35185,0.88388,0.00024276,0.00024276,0.00024276
22,5839.54,2.09955,1.49617,0.86978,0.27221,0.19118,0.14928,0.0779,1.87482,1.34736,0.88295,0.000219198,0.000219198,0.000219198
23,6099.76,2.08279,1.48312,0.86798,0.26849,0.19397,0.15292,0.08012,1.86444,1.33557,0.88279,0.000195636,0.000195636,0.000195636
24,6359.14,2.08314,1.46984,0.86607,0.27334,0.19759,0.15423,0.08075,1.85915,1.33601,0.88066,0.000172074,0.000172074,0.000172074
25,7080.12,2.07502,1.45775,0.86621,0.2773,0.19371,0.15262,0.07961,1.85926,1.32909,0.88145,0.000148512,0.000148512,0.000148512
26,17013,2.06084,1.447,0.86463,0.28205,0.19338,0.15363,0.0806,1.85667,1.33335,0.88023,0.00012495,0.00012495,0.00012495
27,21804.8,2.04667,1.43706,0.86407,0.27946,0.19268,0.15088,0.07919,1.85556,1.33122,0.88197,0.000101388,0.000101388,0.000101388
28,22452.1,2.04317,1.42429,0.86179,0.27579,0.19429,0.15146,0.07913,1.86247,1.32814,0.87929,7.7826e-05,7.7826e-05,7.7826e-05
29,23009.9,2.05182,1.42378,0.85976,0.28005,0.19335,0.15177,0.07952,1.85285,1.32322,0.87905,5.4264e-05,5.4264e-05,5.4264e-05
30,23521.1,2.03532,1.41272,0.86094,0.28621,0.19438,0.15417,0.08077,1.84859,1.32167,0.87828,3.0702e-05,3.0702e-05,3.0702e-05
